"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bootstrap.js,/Users/andrewhaigh/Projects/Git/NodeGoat/app/assets/vendor/bootstrap/bootstrap.js,"","",009474ef7077db3674f18cc37439ef32,56a7790abde2d014778373a57203cc760634fbd6,pkg:javascript/bootstrap@3.0.0,"",CVE-2018-14041,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 4.1.2, XSS is possible in the data-target property of scrollspy.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bootstrap.js,/Users/andrewhaigh/Projects/Git/NodeGoat/app/assets/vendor/bootstrap/bootstrap.js,"","",009474ef7077db3674f18cc37439ef32,56a7790abde2d014778373a57203cc760634fbd6,pkg:javascript/bootstrap@3.0.0,"",CVE-2018-14042,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 4.1.2, XSS is possible in the data-container property of tooltip.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bootstrap.js,/Users/andrewhaigh/Projects/Git/NodeGoat/app/assets/vendor/bootstrap/bootstrap.js,"","",009474ef7077db3674f18cc37439ef32,56a7790abde2d014778373a57203cc760634fbd6,pkg:javascript/bootstrap@3.0.0,"",CVE-2019-8331,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 3.4.1 and 4.3.x before 4.3.1, XSS is possible in the tooltip or popover data-template attribute.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",brace-expansion:1.1.6,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?brace-expansion,"","","","",pkg:npm/brace-expansion@1.1.6,"",1090999,"","Affected versions of `brace-expansion` are vulnerable to a regular expression denial of service condition.  ## Proof of Concept  ``` var expand = require('brace-expansion'); expand('{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\n}'); ```   ## Recommendation  Update to version 1.1.7 or later.",NPM,"","","","","","",HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",braces:1.8.5,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?braces,"","","","",pkg:npm/braces@1.8.5,"",1085715,"",Versions of `braces` prior to 2.3.1 are vulnerable to Regular Expression Denial of Service (ReDoS). Untrusted input may cause catastrophic backtracking while matching regular expressions. This can cause the application to be unresponsive leading to Denial of Service.   ## Recommendation  Upgrade to version 2.3.1 or higher.,NPM,"","","","","","",HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",braces:1.8.5,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?braces,"","","","",pkg:npm/braces@1.8.5,"",1089939,"",A vulnerability was found in Braces versions prior to 2.3.1. Affected versions of this package are vulnerable to Regular Expression Denial of Service (ReDoS) attacks.,NPM,"","","","","","",HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bson:1.0.9,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?mongodb-core:2.1.20/bson:~1.0.4,A bson parser for node.js and the browser,Apache-2.0,"","",pkg:npm/bson@1.0.9,cpe:2.3:a:mongodb:bson:1.0.9:*:*:*:*:*:*:*,CVE-2020-7610,CWE-502 Deserialization of Untrusted Data,"All versions of bson before 1.1.4 are vulnerable to Deserialization of Untrusted Data. The package will ignore an unknown value for an object's _bsotype, leading to cases where an object is serialized as a document rather than the intended BSON type.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bson:1.0.9,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?mongodb-core:2.1.20/bson:~1.0.4,A bson parser for node.js and the browser,Apache-2.0,"","",pkg:npm/bson@1.0.9,cpe:2.3:a:mongodb:bson:1.0.9:*:*:*:*:*:*:*,1089815,"","All versions of bson before 1.1.4 are vulnerable to Deserialization of Untrusted Data. The package will ignore an unknown value for an object's _bsotype, leading to cases where an object is serialized as a document rather than the intended BSON type.",NPM,"","","","","","",HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bson:1.0.9,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?mongodb-core:2.1.20/bson:~1.0.4,A bson parser for node.js and the browser,Apache-2.0,"","",pkg:npm/bson@1.0.9,cpe:2.3:a:mongodb:bson:1.0.9:*:*:*:*:*:*:*,CVE-2019-2391,CWE-502 Deserialization of Untrusted Data,Incorrect parsing of certain JSON input may result in js-bson not correctly serializing BSON. This may cause unexpected application behaviour including data disclosure. This issue affects: MongoDB Inc. js-bson library version 1.1.3 and prior to.,OSSINDEX,MEDIUM,5.4,/AV:N/AC:L/Au:/C:L/I:L/A:N,"","","",HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bson:1.0.9,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?mongodb-core:2.1.20/bson:~1.0.4,A bson parser for node.js and the browser,Apache-2.0,"","",pkg:npm/bson@1.0.9,cpe:2.3:a:mongodb:bson:1.0.9:*:*:*:*:*:*:*,1089812,"",Incorrect parsing of certain JSON input may result in js-bson not correctly serializing BSON. This may cause unexpected application behaviour including data disclosure.,NPM,"","","","","","",HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",chownr:1.0.1,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/chownr:1.0.1,like `chown -R`,ISC,"","",pkg:npm/chownr@1.0.1,cpe:2.3:a:chownr_project:chownr:1.0.1:*:*:*:*:*:*:*,CVE-2017-18869,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,A TOCTOU issue in the chownr package before 1.1.0 for Node.js 10.10 could allow a local attacker to trick it into descending into unintended directories via symlink attacks.,NVD,LOW,1.9,/AV:L/AC:M/Au:N/C:N/I:P/A:N,LOW,2.5,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",chownr:1.0.1,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/chownr:1.0.1,like `chown -R`,ISC,"","",pkg:npm/chownr@1.0.1,cpe:2.3:a:chownr_project:chownr:1.0.1:*:*:*:*:*:*:*,1089794,"",A TOCTOU issue in the chownr package before 1.1.0 for Node.js 10.10 could allow a local attacker to trick it into descending into unintended directories via symlink attacks.,NPM,"","","","","","",HIGHEST,12,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",cryptiles:0.2.2,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/cryptiles:0.2.2,General purpose crypto utilities,"","","",pkg:npm/cryptiles@0.2.2,cpe:2.3:a:cryptiles_project:cryptiles:0.2.2:*:*:*:*:*:*:*,CVE-2018-1000620,CWE-331 Insufficient Entropy,Eran Hammer cryptiles version 4.1.1 earlier contains a CWE-331: Insufficient Entropy vulnerability in randomDigits() method that can result in An attacker is more likely to be able to brute force something that was supposed to be random.. This attack appear to be exploitable via Depends upon the calling application.. This vulnerability appears to have been fixed in 4.1.2.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",cryptiles:2.0.5,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?hawk:3.1.3/cryptiles:2.x.x,General purpose crypto utilities,BSD-3-Clause,"","",pkg:npm/cryptiles@2.0.5,cpe:2.3:a:cryptiles_project:cryptiles:2.0.5:*:*:*:*:*:*:*,CVE-2018-1000620,CWE-331 Insufficient Entropy,Eran Hammer cryptiles version 4.1.1 earlier contains a CWE-331: Insufficient Entropy vulnerability in randomDigits() method that can result in An attacker is more likely to be able to brute force something that was supposed to be random.. This attack appear to be exploitable via Depends upon the calling application.. This vulnerability appears to have been fixed in 4.1.2.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,11,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",cryptiles:2.0.5,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?hawk:3.1.3/cryptiles:2.x.x,General purpose crypto utilities,BSD-3-Clause,"","",pkg:npm/cryptiles@2.0.5,cpe:2.3:a:cryptiles_project:cryptiles:2.0.5:*:*:*:*:*:*:*,1087746,"",Versions of `cryptiles` prior to 4.1.2 are vulnerable to Insufficient Entropy. The `randomDigits()` method does not provide sufficient entropy and its generates digits that are not evenly distributed.   ## Recommendation  Upgrade to version 4.1.2. The package is deprecated and has been moved to `@hapi/cryptiles` and it is strongly recommended to use the maintained package.,NPM,"","","","","","",HIGHEST,11,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",debug:2.2.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?debug,"","","","",pkg:npm/debug@2.2.0,"",1089147,"",A vulnerability classified as problematic has been found in debug-js debug up to 3.0.x. This affects the function useColors of the file src/node.js. The manipulation of the argument str leads to inefficient regular expression complexity. Upgrading to version 3.1.0 is able to address this issue. The name of the patch is c38a0166c266a679c8de012d4eaccec3f944e685. It is recommended to upgrade the affected component. The identifier VDB-217665 was assigned to this vulnerability. The patch has been backported to the 2.6.x branch in version 2.6.9.,NPM,"","","","","","",HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",debug:2.2.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?debug,"","","","",pkg:npm/debug@2.2.0,"",1090974,"","Affected versions of `debug` are vulnerable to regular expression denial of service when untrusted user input is passed into the `o` formatter.   As it takes 50,000 characters to block the event loop for 2 seconds, this issue is a low severity issue.   ## Recommendation  Version 2.x.x: Update to version 2.6.9 or later. Version 3.x.x: Update to version 3.1.0 or later.",NPM,"","","","","","",HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",decode-uri-component:0.2.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?source-map-resolve:0.5.3/decode-uri-component:^0.2.0,A better decodeURIComponent,MIT,"","",pkg:npm/decode-uri-component@0.2.0,cpe:2.3:a:decode-uri-component_project:decode-uri-component:0.2.0:*:*:*:*:*:*:*,CVE-2022-38900,CWE-20 Improper Input Validation,decode-uri-component 0.2.0 is vulnerable to Improper Input Validation resulting in DoS.,NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",decode-uri-component:0.2.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?source-map-resolve:0.5.3/decode-uri-component:^0.2.0,A better decodeURIComponent,MIT,"","",pkg:npm/decode-uri-component@0.2.0,cpe:2.3:a:decode-uri-component_project:decode-uri-component:0.2.0:*:*:*:*:*:*:*,CVE-2022-38778,CWE-20 Improper Input Validation,"A flaw (CVE-2022-38900) was discovered in one of Kibana’s third party dependencies, that could allow an authenticated user to perform a request that crashes the Kibana server process.",NVD,"","","",MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",decode-uri-component:0.2.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?source-map-resolve:0.5.3/decode-uri-component:^0.2.0,A better decodeURIComponent,MIT,"","",pkg:npm/decode-uri-component@0.2.0,cpe:2.3:a:decode-uri-component_project:decode-uri-component:0.2.0:*:*:*:*:*:*:*,1088828,"",decode-uri-component 0.2.0 is vulnerable to Improper Input Validation resulting in DoS.,NPM,"","","","","","",HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",diff:1.4.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?tap-mocha-reporter:2.0.1/diff:^1.3.2,A javascript text diff implementation.,"","","",pkg:npm/diff@1.4.0,"",1085700,"","A vulnerability was found in diff before v3.5.0, the affected versions of this package are vulnerable to Regular Expression Denial of Service (ReDoS) attacks.",NPM,"","","","","","",HIGHEST,7,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",extend:3.0.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/extend:3.0.0,Port of jQuery.extend for node.js and the browser,MIT,"","",pkg:npm/extend@3.0.0,cpe:2.3:a:extend_project:extend:3.0.0:*:*:*:*:*:*:*,CVE-2018-16492,CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),"A prototype pollution vulnerability was found in module extend <2.0.2, ~<3.0.2 that allows an attacker to inject arbitrary properties onto Object.prototype.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,15,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",extend:3.0.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/extend:3.0.0,Port of jQuery.extend for node.js and the browser,MIT,"","",pkg:npm/extend@3.0.0,cpe:2.3:a:extend_project:extend:3.0.0:*:*:*:*:*:*:*,1087633,"",Versions of `extend` prior to 3.0.2 (for 3.x) and 2.0.2 (for 2.x) are vulnerable to Prototype Pollution. The `extend()` function allows attackers to modify the prototype of Object causing the addition or modification of an existing property that will exist on all objects.     ## Recommendation  If you're using `extend` 3.x upgrade to 3.0.2 or later. If you're using `extend` 2.x upgrade to 2.0.2 or later.,NPM,"","","","","","",HIGHEST,15,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",faye-websocket:0.10.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?tiny-lr:1.1.1/faye-websocket:~0.10.0,Standards-compliant WebSocket server and client,MIT,"","",pkg:npm/faye-websocket@0.10.0,cpe:2.3:a:faye-websocket_project:faye-websocket:0.10.0:*:*:*:*:*:*:*,CVE-2020-15133,CWE-295 Improper Certificate Validation,"In faye-websocket before version 0.11.0, there is a lack of certification validation in TLS handshakes. The `Faye::WebSocket::Client` class uses the `EM::Connection#start_tls` method in EventMachine to implement the TLS handshake whenever a `wss:` URL is used for the connection. This method does not implement certificate verification by default, meaning that it does not check that the server presents a valid and trusted TLS certificate for the expected hostname. That means that any `wss:` connection made using this library is vulnerable to a man-in-the-middle attack, since it does not confirm the identity of the server it is connected to. For further background information on this issue, please see the referenced GitHub Advisory. Upgrading `faye-websocket` to v0.11.0 is recommended.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,HIGH,8.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",fstream:^1.0.2,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?tar:2.2.1/fstream:^1.0.2,"","","","",pkg:npm/fstream@%5E1.0.2,cpe:2.3:a:fstream_project:fstream:1.0.2:*:*:*:*:*:*:*,CVE-2019-13173,CWE-59 Improper Link Resolution Before File Access ('Link Following'),"fstream before 1.0.12 is vulnerable to Arbitrary File Overwrite. Extracting tarballs containing a hardlink to a file that already exists in the system, and a file that matches the hardlink, will overwrite the system's file with the contents of the extracted file. The fstream.DirWriter() function is vulnerable.",NVD,MEDIUM,6.4,/AV:N/AC:L/Au:N/C:N/I:P/A:P,HIGH,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGHEST,20,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",fstream:^1.0.2,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?tar:2.2.1/fstream:^1.0.2,"","","","",pkg:npm/fstream@%5E1.0.2,cpe:2.3:a:fstream_project:fstream:1.0.2:*:*:*:*:*:*:*,1085753,"",Versions of `fstream` prior to 1.0.12 are vulnerable to Arbitrary File Overwrite. Extracting tarballs containing a hardlink to a file that already exists in the system and a file that matches the hardlink will overwrite the system's file with the contents of the extracted file. The `fstream.DirWriter()` function is vulnerable.   ## Recommendation  Upgrade to version 1.0.12 or later.,NPM,"","","","","","",HIGHEST,20,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",glob-parent:2.0.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/glob-parent:2.0.0,Strips glob magic from a string to provide the parent path,ISC,"","",pkg:npm/glob-parent@2.0.0,"",CVE-2020-28469,CWE-400 Uncontrolled Resource Consumption ('Resource Exhaustion'),This affects the package glob-parent before 5.1.2. The enclosure regex used to check for strings ending in enclosure containing path separator.,OSSINDEX,HIGH,7.5,/AV:N/AC:L/Au:/C:N/I:N/A:H,"","","",HIGHEST,10,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",glob-parent:3.1.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/glob-parent:3.1.0,Strips glob magic from a string to provide the parent directory path,ISC,"","",pkg:npm/glob-parent@3.1.0,"",CVE-2020-28469,CWE-400 Uncontrolled Resource Consumption ('Resource Exhaustion'),This affects the package glob-parent before 5.1.2. The enclosure regex used to check for strings ending in enclosure containing path separator.,OSSINDEX,HIGH,7.5,/AV:N/AC:L/Au:/C:N/I:N/A:H,"","","",HIGHEST,8,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",glob-parent:3.1.0,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/glob-parent:3.1.0,Strips glob magic from a string to provide the parent directory path,ISC,"","",pkg:npm/glob-parent@3.1.0,"",1091181,"",This affects the package glob-parent before 5.1.2. The enclosure regex used to check for strings ending in enclosure containing path separator.,NPM,"","","","","","",HIGHEST,8,"","","","","","","",""
