Summary,CVEs,Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Source Id
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability which may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21344,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:17:28-05:00,com.thoughtworks.xstream:xstream,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-157675,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"It was found that the fix to address CVE-2021-44228 in Apache Log4j 2.15.0 was incomplete in certain non-default configurations. This could allows attackers with control over Thread Context Map (MDC) input data when the logging configuration uses a non-default Pattern Layout with either a Context Lookup (for example, $${ctx:loginId}) or a Thread Context Map pattern (%X, %mdc, or %MDC) to craft malicious input data using a JNDI Lookup pattern resulting in an information leak and remote code execution in some environments and local code execution in all environments. Log4j 2.16.0 (Java 8) and 2.12.2 (Java 7) fix this issue by removing support for message lookup patterns and disabling JNDI functionality by default.",CVE-2021-45046,Critical,security,JFrog,org.apache.logging.log4j:log4j-core,"2.0 ≤ Version ≤ 2.0.1,2.0-beta9,2.0-rc1-rc1,2.0-rc1,2.0-rc2,2.0.2-site-update,2.0.2,2.1 ≤ Version ≤ 2.3,2.1-rc2,2.1-rc3,2.10-rc1,2.10.0,2.11.0-rc1,2.11.0,2.11.1-rc1,2.11.1,2.11.2-rc1,2.11.2-rc2,2.11.2-rc3,2.11.2,2.12.0-rc1,2.12.0-rc2,2.12.0,2.12.1-rc1,2.12.1,2.13.0-rc1,2.13.0-rc2,2.13.0,2.13.1-rc1,2.13.1-rc2,2.13.1,2.13.2-rc1,2.13.2,2.13.3-rc1,2.13.3,2.14.0-rc1,2.14.0,2.14.1-rc1,2.14.1,2.15.0-rc1,2.15.0-rc2,2.15.0,2.15.1-rc1,2.4 ≤ Version ≤ 2.4.1,2.5-rc1,2.5,2.6-rc1,2.6.1-rc1,2.6.1,2.6.2-rc1,2.6.2,2.6,2.7-rc1,2.7-rc2,2.7,2.8-rc1,2.8.1-rc1,2.8.1,2.8.2-rc1,2.8.2,2.8,2.9-rc1,2.9.0,2.9.1-rc1,2.9.1","2.12.2,2.16.0,2.3.1",2022-12-13T11:32:03-05:00,org.apache.logging.log4j:log4j-core,5.1/CVSS:2.0/AV:N/AC:H/Au:N/C:P/I:P/A:P,9.0/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,CWE-502,XRAY-192126,FALSE,gav://org.apache.logging.log4j:log4j-core:2.15.0,gav://org.apache.logging.log4j:log4j-core
"Apache Commons Text performs variable interpolation, allowing properties to be dynamically evaluated and expanded. The standard format for interpolation is ""${prefix:name}"", where ""prefix"" is used to locate an instance of org.apache.commons.text.lookup.StringLookup that performs the interpolation. Starting with version 1.5 and continuing through 1.9, the set of default Lookup instances included interpolators that could result in arbitrary code execution or contact with remote servers. These lookups are: - ""script"" - execute expressions using the JVM script execution engine (javax.script) - ""dns"" - resolve dns records - ""url"" - load values from urls, including from remote servers Applications using the interpolation defaults in the affected versions may be vulnerable to remote code execution or unintentional contact with remote servers if untrusted configuration values are used. Users are recommended to upgrade to Apache Commons Text 1.10.0, which disables the problematic interpolators by default.",CVE-2022-42889,Critical,security,JFrog,org.apache.commons:commons-text,1.5 ≤ Version < 1.10.0,1.10.0,2023-01-09T21:14:36-05:00,org.apache.commons:commons-text,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,XRAY-257211,FALSE,gav://org.apache.commons:commons-text:1.9,gav://org.apache.commons:commons-text
"Spring Security, versions 5.7 prior to 5.7.5 and 5.6 prior to 5.6.9 could be susceptible to authorization rules bypass via forward or include dispatcher types. Specifically, an application is vulnerable when all of the following are true: The application expects that Spring Security applies security to forward and include dispatcher types. The application uses the AuthorizationFilter either manually or via the authorizeHttpRequests() method. The application configures the FilterChainProxy to apply to forward and/or include requests (e.g. spring.security.filter.dispatcher-types = request, error, async, forward, include). The application may forward or include the request to a higher privilege-secured endpoint.The application configures Spring Security to apply to every dispatcher type via authorizeHttpRequests().shouldFilterAllDispatcherTypes(true)",CVE-2022-31692,Critical,security,JFrog,org.springframework.security:spring-security-core,"5.6.0 ≤ Version < 5.6.9,5.7.0 ≤ Version < 5.7.5","5.6.9,5.7.5",2023-02-01T21:16:04-05:00,org.springframework.security:spring-security-core,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-863,XRAY-260383,FALSE,gav://org.springframework.security:spring-security-core:5.7.2,gav://org.springframework.security:spring-security-core
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability which may allow a remote attacker who has sufficient rights to execute commands of the host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21345,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:17:28-05:00,com.thoughtworks.xstream:xstream,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,9.9/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,CWE-78,XRAY-157674,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability where the processed stream at unmarshalling time contains type information to recreate the formerly written objects. XStream creates therefore new instances based on these type information. An attacker can manipulate the processed input stream and replace or inject objects, that result in a server-side forgery request. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21342,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:15:58-05:00,com.thoughtworks.xstream:xstream,5.8/CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:N,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,"CWE-502,CWE-918",XRAY-157677,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream through 1.4.9, when a certain denyTypes workaround is not used, mishandles attempts to create an instance of the primitive type 'void' during unmarshalling, leading to a remote application crash, as demonstrated by an xstream.fromXML(""<void/>"") call.",CVE-2017-7957,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.10,1.4.10,2023-02-01T21:15:40-05:00,com.thoughtworks.xstream:xstream,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-20,XRAY-55891,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39141,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:16:21-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183386,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39145,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:15:22-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183384,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39148,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:16:21-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183381,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.15, a Server-Side Forgery Request vulnerability can be activated when unmarshalling. The vulnerability may allow a remote attacker to request data from internal resources that are not publicly available only by manipulating the processed input stream. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.15. The reported vulnerability does not exist if running Java 15 or higher. No user is affected who followed the recommendation to setup XStream's Security Framework with a whitelist! Anyone relying on XStream's default blacklist can immediately switch to a whilelist for the allowed types to avoid the vulnerability. Users of XStream 1.4.14 or below who still want to use XStream default blacklist can use a workaround described in more detailed in the referenced advisories.",CVE-2020-26258,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.15,1.4.15,2023-02-01T21:16:20-05:00,com.thoughtworks.xstream:xstream,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,7.7/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,CWE-918,XRAY-135041,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39146,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:16:21-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183383,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream serializes Java objects to XML and back again. Versions prior to 1.4.20 may allow a remote attacker to terminate the application with a stack overflow error, resulting in a denial of service only via manipulation the processed input stream. The attack uses the hash code implementation for collections and maps to force recursive hash calculation causing a stack overflow. This issue is patched in version 1.4.20 which handles the stack overflow and raises an InputManipulationException instead. A potential workaround for users who only use HashMap or HashSet and whose XML refers these only as default map or set, is to change the default implementation of java.util.Map and java.util per the code example in the referenced advisory. However, this implies that your application does not care about the implementation of the map and all elements are comparable.",CVE-2022-41966,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.20,1.4.20,2023-02-01T21:16:04-05:00,com.thoughtworks.xstream:xstream,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"CWE-121,CWE-120,CWE-502",XRAY-412741,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
XStream is an open source java library to serialize objects to XML and back again. Versions prior to 1.4.19 may allow a remote attacker to allocate 100% CPU time on the target system depending on CPU type or parallel execution of such a payload resulting in a denial of service only by manipulating the processed input stream. XStream 1.4.19 monitors and accumulates the time it takes to add elements to collections and throws an exception if a set threshold is exceeded. Users are advised to upgrade as soon as possible. Users unable to upgrade may set the NO_REFERENCE mode to prevent recursion. See GHSA-rmr5-cpv2-vgjf for further details on a workaround if an upgrade is not possible.,CVE-2021-43859,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.19,1.4.19,2023-02-01T21:16:26-05:00,com.thoughtworks.xstream:xstream,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-197020,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to request data from internal resources that are not publicly available only by manipulating the processed input stream with a Java runtime version 14 to 8. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the [Security Framework](https://x-stream.github.io/security.html#framework), you will have to use at least version 1.4.18.",CVE-2021-39150,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:16:21-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-502,CWE-918",XRAY-183379,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
XStream is software for serializing Java objects to XML and back again. A vulnerability in XStream versions prior to 1.4.17 may allow a remote attacker has sufficient rights to execute commands of the host only by manipulating the processed input stream. No user who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types is affected. The vulnerability is patched in version 1.4.17.,CVE-2021-29505,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.17,1.4.17,2023-01-06T21:14:26-05:00,com.thoughtworks.xstream:xstream,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"CWE-502,CWE-94",XRAY-176856,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
Wildfly Common (wildfly-common) javax.xml.parsers.DocumentBuilderFactory / javax.xml.stream.XMLInputFactory XML External Entity (XXE) Injection Remote Issue,,High,security,JFrog,org.wildfly.common:wildfly-common,≤ 1.5.4.Final,,2022-03-02T03:37:50-05:00,org.wildfly.common:wildfly-common,,,,XRAY-198432,FALSE,gav://org.wildfly.common:wildfly-common:1.5.4.Final,gav://org.wildfly.common:wildfly-common
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream, if using the version out of the box with Java runtime version 14 to 8 or with JavaFX installed. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39153,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:16:21-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183376,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
A flaw was found in Undertow. A potential security issue in flow control handling by the browser over HTTP/2 may cause overhead or a denial of service in the server. This flaw exists because of an incomplete fix for CVE-2021-3629.,CVE-2022-1259,High,security,JFrog,io.undertow:undertow-core,All Versions,,2022-09-20T23:22:13-04:00,io.undertow:undertow-core,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NVD-CWE-noinfo,XRAY-253193,FALSE,gav://io.undertow:undertow-core:2.2.18.Final,gav://io.undertow:undertow-core
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39147,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:16:21-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183382,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker has sufficient rights to execute commands of the host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39144,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:17:39-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-502,CWE-94",XRAY-183385,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a simple library to serialize objects to XML and back again. In affected versions this vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. XStream 1.4.18 uses no longer a blacklist by default, since it cannot be secured for general purpose.",CVE-2021-39151,High,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.18,1.4.18,2023-02-01T21:15:22-05:00,com.thoughtworks.xstream:xstream,6.0/CVSS:2.0/AV:N/AC:M/Au:S/C:P/I:P/A:P,8.5/CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-183378,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
