Component origin id,License,CVE,Vulnerability id,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-xml:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-core:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-databinding-jaxb:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-jaxws:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-frontend-simple:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-transports-http:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-addr:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-ws-policy:2.7.11,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2017-5656,BDSA-2017-0110 (CVE-2017-5656),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2017-5653,BDSA-2017-0109 (CVE-2017-5653),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2017-12624,BDSA-2017-1954 (CVE-2017-12624),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2021-22696,BDSA-2021-0853 (CVE-2021-22696),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-rt-bindings-soap:3.1.9,,CVE-2021-30468,BDSA-2021-1813 (CVE-2021-30468),,,,,,,,,,,,,,,,,,,,,
