Component,License,CVE,Severity
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2016-1000346,3.7
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2016-1000352,7.4
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2018-1000180,7.5
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2020-0187,5.5
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2020-15522,5.9
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2020-26939,5.3
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,sonatype-2019-0673,3.7
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,sonatype-2020-0770,5.5
biz.aqute.bnd:biz.aqute.repository:3.5.0,Apache-2.0,,
biz.aqute.bnd:biz.aqute.resolve:3.4.0,Apache-2.0,,
biz.aqute.bnd:biz.aqute.tester:3.1.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:biz.aqute.tester:3.5.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:bnd-export-maven-plugin:3.5.0,"Apache-2.0, No Source License",CVE-2020-15250,5.5
biz.aqute.bnd:org.osgi.impl.bundle.repoindex.ant:3.4.0,Apache-2.0,,
bootstrap (twitter):3.2.0,MIT,,
bootstrap-sass:twbs:v3.3.7,MIT,,
bsf:bsf:2.4.0,Apache-2.0,,
cglib:cglib-nodep:2.2,"Apache-2.0, BSD-3-Clause",,
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",CVE-2021-26271,6.5
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",CVE-2021-26272,6.5
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",CVE-2021-33829,6.1
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",CVE-2021-41164,5.4
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",CVE-2021-41165,5.4
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",CVE-2022-24729,7.5
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",sonatype-2017-0052,4.4
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",sonatype-2020-0066,6.1
ckeditor-awv:4.6.0-1,"GPL-2.0 or LGPL-2.1 or MPL-1.1, Not Supported",sonatype-2020-1072,6.1
ckeditor-releases:ckeditor:full/4.6.2,"LGPL-2.1+, GPL-2.0+, MPL-1.1",,
com.adobe.xmp:xmpcore:5.1.2,"BSD, BSD-3-Clause, Adobe",,
com.amazonaws:aws-java-sdk-core:1.11.277,Apache-2.0,,
com.amazonaws:aws-java-sdk-kms:1.11.277,Apache-2.0,,
com.amazonaws:aws-java-sdk-s3:1.11.277,Apache-2.0,CVE-2022-31159,6.5
com.artofsolving:jodconverter:2.2.1,"LGPL-2.1, LGPL-3.0, LGPL-2.1+",,
com.beetstra.jutf7:jutf7:1.0.0,"MIT, See-License-Clause",,
com.carrotsearch:hppc:0.7.1,Apache-2.0,,
com.drewnoakes:metadata-extractor:2.9.1,Apache-2.0,sonatype-2021-4949,5.3
com.fasterxml.jackson.core:jackson-annotations:2.2.1,"Apache-2.0, LGPL-2.1, No Source License",,
com.fasterxml.jackson.core:jackson-annotations:2.5.0,"Apache-2.0, No Source License",,
com.fasterxml.jackson.core:jackson-core:2.2.3,"Apache-2.0, LGPL-2.1, No Source License",sonatype-2017-0355,7.5
com.fasterxml.jackson.core:jackson-core:2.5.3,"Apache-2.0, No Source License",sonatype-2016-0397,5.5
com.fasterxml.jackson.core:jackson-core:2.5.3,"Apache-2.0, No Source License",sonatype-2017-0355,7.5
com.fasterxml.jackson.core:jackson-core:2.8.1,"Apache-2.0, No Source License",sonatype-2016-0397,5.5
com.fasterxml.jackson.core:jackson-core:2.8.1,"Apache-2.0, No Source License",sonatype-2017-0355,7.5
com.fasterxml.jackson.core:jackson-core:2.8.10,"Apache-2.0, No Source License",,
com.fasterxml.jackson.core:jackson-databind:2.2.3,"Apache-2.0, LGPL-2.1, See-License-Clause",CVE-2017-7525,9.8
com.fasterxml.jackson.core:jackson-databind:2.2.3,"Apache-2.0, LGPL-2.1, See-License-Clause",CVE-2020-36518,7.5
com.fasterxml.jackson.core:jackson-databind:2.2.3,"Apache-2.0, LGPL-2.1, See-License-Clause",sonatype-2016-0593,6.3
com.fasterxml.jackson.core:jackson-databind:2.5.3,"Apache-2.0, No Source License",CVE-2017-7525,9.8
com.fasterxml.jackson.core:jackson-databind:2.5.3,"Apache-2.0, No Source License",CVE-2020-36518,7.5
com.fasterxml.jackson.core:jackson-databind:2.5.3,"Apache-2.0, No Source License",sonatype-2016-0593,6.3
com.fasterxml.jackson.core:jackson-databind:2.9.3,"Apache-2.0, No Source License",CVE-2017-17485,9.8
com.fasterxml.jackson.core:jackson-databind:2.9.3,"Apache-2.0, No Source License",CVE-2018-5968,8.1
com.fasterxml.jackson.core:jackson-databind:2.9.3,"Apache-2.0, No Source License",CVE-2020-25649,7.5
com.fasterxml.jackson.core:jackson-databind:2.9.3,"Apache-2.0, No Source License",CVE-2020-36518,7.5
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.8.1,"Apache-2.0, No Source License",CVE-2020-28491,7.5
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.8.10,"Apache-2.0, No Source License",CVE-2020-28491,7.5
com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.8.1,"Apache-2.0, No Source License",,
com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.8.10,"Apache-2.0, No Source License",,
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.8.1,"Apache-2.0, No Source License",,
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.8.10,"Apache-2.0, No Source License",,
com.github.fge:jackson-coreutils:1.6,"Apache-2.0, LGPL-3.0, LGPL-3.0+",,
com.github.fge:json-schema-core:1.2.0,"Apache-2.0, LGPL-3.0, LGPL-3.0+",,
com.github.fge:json-schema-validator:2.2.4,"Apache-2.0, LGPL-3.0, LGPL-3.0+",,
com.github.fge:json-schema-validator:2.2.5,"Apache-2.0, LGPL-3.0, LGPL-3.0+",,
com.github.fge:msg-simple:1.1,"Apache-2.0, LGPL-3.0, LGPL-3.0+",,
com.github.fge:uri-template:0.9,"Apache-2.0, LGPL-3.0, LGPL-3.0+",,
com.github.jsqlparser:jsqlparser:0.9.3,"LGPL-2.1, LGPL-2.1+",,
com.github.yuchi:npm-semver:1.0.0,"LGPL-2.1, No Source License",,
com.google.api-client:google-api-client:1.21.0,"Apache-2.0, BSD-3-Clause",,
com.google.apis:google-api-services-oauth2:v2-rev110-1.21.0,Apache-2.0,,
com.google.code.findbugs:annotations:2.0.2,"LGPL-3.0, Public Domain",,
com.google.code.findbugs:annotations:2.0.3,"LGPL-3.0, No Source License",,
com.google.code.findbugs:jsr305:1.3.9,"Apache-2.0, No Sources",,
com.google.code.findbugs:jsr305:2.0.3,"Apache-2.0, No Source License",,
com.google.code.gson:gson:1.4-atlassian-1,Apache-2.0,,
com.google.code.gson:gson:2.8.1,Apache-2.0,sonatype-2021-1694,7.5
com.google.collections:google-collections:1.0,Apache-2.0,,
com.google.guava:guava:16.0.1,"Apache-2.0, Public Domain",CVE-2018-10237,5.9
com.google.guava:guava:16.0.1,"Apache-2.0, Public Domain",sonatype-2020-0926,6.2
com.google.guava:guava:18.0,"Apache-2.0, Public Domain",CVE-2018-10237,5.9
com.google.guava:guava:18.0,"Apache-2.0, Public Domain",sonatype-2020-0926,6.2
com.google.guava:guava:19.0.20150826,"Not Declared, No Sources",CVE-2018-10237,5.9
com.google.guava:guava:19.0.20150826,"Not Declared, No Sources",sonatype-2020-0926,6.2
com.google.http-client:google-http-client:1.21.0,Apache-2.0,,
com.google.http-client:google-http-client-jackson2:1.21.0,Apache-2.0,,
com.google.inject:guice:2.0,Apache-2.0,,
com.google.inject.extensions:guice-multibindings:3.0,Apache-2.0,,
com.google.javascript:closure-compiler:v20131014,"Apache-2.0, GPL-2.0+ or MPL-1.1",,
com.google.oauth-client:google-oauth-client:1.21.0,Apache-2.0,CVE-2020-7692,9.1
com.google.oauth-client:google-oauth-client:1.21.0,Apache-2.0,CVE-2021-22573,7.3
com.google.template:soy:2015-04-10,Apache-2.0,,
com.googlecode.concurrentlinkedhashmap:concurrentlinkedhashmap-lru:1.4.2,"Apache-2.0, Public Domain",,
com.googlecode.json-simple:json-simple:1.1.1,"Apache-2.0, No Source License",,
com.googlecode.jsontoken:jsontoken:1.1,Apache-2.0,,
com.googlecode.juniversalchardet:juniversalchardet:1.0.3,"MPL-1.1, GPL-2.0+ or LGPL-2.1+ or MPL-1.1",,
com.googlecode.libphonenumber:libphonenumber:6.0,Apache-2.0,,
com.googlecode.mp4parser:isoparser:1.1.18,"Apache-2.0, Generic-Open-Source-Clause, EPL-1.0, MIT",,
com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer:r239,"BSD-2-Clause, BSD-3-Clause",CVE-2021-42575,9.8
com.helger:ph-commons:6.2.4,Apache-2.0,,
com.helger:ph-css:4.1.0,Apache-2.0,,
com.helger.photon:ph-oton-datatables:8.3.2,Apache-2.0,CVE-2021-23445,6.1
com.ibm.db2.jcc:db2jcc:db2jcc4,"IBM-SL-International-Program-Policies-LA, Non-Standard, Nonsensical-Clause, No Sources",,
com.ibm.db2.jcc:db2jcc4:10.1,Not Provided,,
com.ibm.icu:icu4j:51.1,"ICU, Non-Standard, No Source License",,
com.ibm.icu:icu4j:54.1,"ICU, Non-Standard, No Source License",,
com.ibm.icu:icu4j:54.1.1,"ICU, Non-Standard, No Source License",,
com.ibm.icu:icu4j:59.1,"ICU or Unicode, Non-Standard, No Source License",CVE-2018-18928,9.8
com.jhlabs:imaging:01012005,"Not Declared, No Sources",,
com.liferay:com.ctc.wstx:3.2.4.liferay-patched-1,"LGPL-2.1, See-License-Clause",CVE-2019-12401,7.5
com.liferay:com.ctc.wstx:3.2.4.liferay-patched-1,"LGPL-2.1, See-License-Clause",sonatype-2018-0624,9.8
com.liferay:com.github.fge.json.schema.validator:2.2.3.liferay-patched-1,"LGPL-2.1, No Sources",CVE-2017-7525,9.8
com.liferay:com.github.fge.json.schema.validator:2.2.3.liferay-patched-1,"LGPL-2.1, No Sources",CVE-2018-10237,5.9
com.liferay:com.github.fge.json.schema.validator:2.2.3.liferay-patched-1,"LGPL-2.1, No Sources",CVE-2020-36518,7.5
com.liferay:com.github.fge.json.schema.validator:2.2.3.liferay-patched-1,"LGPL-2.1, No Sources",sonatype-2016-0593,6.3
com.liferay:com.github.fge.json.schema.validator:2.2.3.liferay-patched-1,"LGPL-2.1, No Sources",sonatype-2017-0355,7.5
com.liferay:com.github.fge.json.schema.validator:2.2.3.liferay-patched-1,"LGPL-2.1, No Sources",sonatype-2018-0590,8.8
com.liferay:com.github.fge.json.schema.validator:2.2.3.liferay-patched-1,"LGPL-2.1, No Sources",sonatype-2020-0926,6.2
com.liferay:com.ibm.icu4j:54.1.1.liferay-patched-2,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.alloy.mvc:2.3.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.announcements.api:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.announcements.web:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.ant.bnd:2.0.47,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.application.list.api:2.2.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.application.list.taglib:2.0.14,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.application.list.user.personal.site.permissions:2.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.browser.web:1.0.25,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.categories.admin.web:1.1.15,"LGPL-2.1, LGPL-2.1+",CVE-2021-29039,6.1
com.liferay:com.liferay.asset.categories.admin.web:1.1.15,"LGPL-2.1, LGPL-2.1+",CVE-2021-33328,5.4
com.liferay:com.liferay.asset.categories.admin.web:1.1.15,"LGPL-2.1, LGPL-2.1+",sonatype-2020-0989,6.1
com.liferay:com.liferay.asset.categories.navigation.api:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.categories.navigation.web:2.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.categories.service:1.0.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.display.web:1.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.entry.query.processor.custom.user.attributes:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.publisher.layout.prototype:1.0.15,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.publisher.web:1.8.12,"LGPL-2.1, LGPL-2.1+",CVE-2021-29051,6.1
com.liferay:com.liferay.asset.publisher.web:1.8.12,"LGPL-2.1, LGPL-2.1+",sonatype-2018-0427,6.1
com.liferay:com.liferay.asset.service:1.1.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.taglib:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.tags.admin.web:1.0.15,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.tags.api:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.tags.compiler.web:2.0.7,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.tags.navigation.api:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.tags.navigation.web:3.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.tags.service:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.asset.web:2.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.api:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.api:3.1.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.editor.configuration:1.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.item.selector.api:1.1.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.item.selector.web:2.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.layout.prototype:2.0.14,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.recent.bloggers.api:1.0.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.recent.bloggers.web:2.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.service:1.1.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.blogs.web:2.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.bookmarks.api:2.0.13,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.bookmarks.service:1.1.27,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.bookmarks.web:1.0.36,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.calendar.api:2.3.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.calendar.service:2.7.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.calendar.web:1.0.54,"LGPL-2.1, LGPL-2.1+",CVE-2020-25476,6.1
com.liferay:com.liferay.captcha.api:1.1.3,"LGPL-2.1, LGPL-2.1+",CVE-2021-29047,7.5
com.liferay:com.liferay.captcha.taglib:1.0.7,"LGPL-2.1, LGPL-2.1+",CVE-2019-6588,4.7
com.liferay:com.liferay.comment.api:2.0.2,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.comment.editor.configuration:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.comment.page.comments.web:1.0.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.comment.ratings.definition:2.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.comment.sanitizer:2.0.6,"LGPL-2.1, LGPL-2.1+",CVE-2018-10237,5.9
com.liferay:com.liferay.comment.sanitizer:2.0.6,"LGPL-2.1, LGPL-2.1+",CVE-2021-42575,9.8
com.liferay:com.liferay.comment.sanitizer:2.0.6,"LGPL-2.1, LGPL-2.1+",sonatype-2020-0926,6.2
com.liferay:com.liferay.comment.web:2.0.5,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.configuration.admin.web:1.0.45,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.contacts.api:2.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.contacts.service:2.0.20,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.contacts.web:1.0.35,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.directory.web:1.0.23,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.document.library.api:3.5.1,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.document.library.item.selector.web:1.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.document.library.layout.set.prototype:2.0.14,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.document.library.repository.authorization.api:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.document.library.repository.cmis.api:1.1.12,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.document.library.repository.cmis.impl:2.0.28,"LGPL-2.1, LGPL-2.1+",CVE-2016-6812,6.1
com.liferay:com.liferay.document.library.repository.cmis.impl:2.0.28,"LGPL-2.1, LGPL-2.1+",CVE-2017-12624,5.5
com.liferay:com.liferay.document.library.repository.cmis.impl:2.0.28,"LGPL-2.1, LGPL-2.1+",CVE-2018-8039,8.1
com.liferay:com.liferay.document.library.repository.cmis.impl:2.0.28,"LGPL-2.1, LGPL-2.1+",CVE-2019-12406,6.5
com.liferay:com.liferay.document.library.repository.cmis.impl:2.0.28,"LGPL-2.1, LGPL-2.1+",CVE-2019-17573,6.1
com.liferay:com.liferay.document.library.repository.cmis.impl:2.0.28,"LGPL-2.1, LGPL-2.1+",CVE-2020-13954,6.1
com.liferay:com.liferay.document.library.repository.external.api:1.0.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.document.library.repository.search:3.0.3,"LGPL-2.1, LGPL-2.1+",CVE-2017-12629,9.8
com.liferay:com.liferay.document.library.service:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.document.library.web:2.0.9,"LGPL-2.1, LGPL-2.1+",CVE-2020-15842,8.1
com.liferay:com.liferay.document.library.web:2.0.9,"LGPL-2.1, LGPL-2.1+",CVE-2021-33337,6.1
com.liferay:com.liferay.dynamic.data.lists.api:2.1.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.lists.form.web:2.0.15,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.lists.service:1.1.49,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.lists.web:2.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.api:3.8.3,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.data.provider:2.0.4,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.data.provider.impl:1.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.data.provider.web:1.0.15,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.expression:2.0.9,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.form.evaluator:2.0.6,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.form.field.type:2.0.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.form.renderer:2.1.16,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.form.values.factory:2.0.10,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.form.values.query:2.0.13,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.io:2.0.15,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.lang:2.0.7,"LGPL-2.1, No Source License",,
com.liferay:com.liferay.dynamic.data.mapping.service:2.1.8,"LGPL-2.1, LGPL-2.1+",CVE-2020-13444,6.5
com.liferay:com.liferay.dynamic.data.mapping.service:2.5.0,"LGPL-2.1, LGPL-2.1+",CVE-2020-13444,6.5
com.liferay:com.liferay.dynamic.data.mapping.service:2.5.6,"LGPL-2.1, LGPL-2.1+",CVE-2020-13444,6.5
com.liferay:com.liferay.dynamic.data.mapping.taglib:2.1.11,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.captcha:2.0.8,"LGPL-2.1, LGPL-2.1+",,
com.liferay:com.liferay.dynamic.data.mapping.type.checkbox:2.0.14,"LGPL-2.1, LGPL-2.1+",,
