Summary,CVEs,Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Component
"Versions of handlebars prior to 4.3.0 are vulnerable to Prototype Pollution leading to Remote Code Execution. Templates may alter an Object's __proto__ and __defineGetter__ properties, which may allow an attacker to execute arbitrary code through crafted payloads.",CVE-2019-19919,Critical,security,JFrog,handlebars,< 4.3.0,4.3.0,2023-02-01T21:15:42-05:00,handlebars,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-1321,XRAY-93077,FALSE,npm://handlebars:4.0.5,handlebars:4.0.5
"Minimist <=1.2.5 is vulnerable to Prototype Pollution via file index.js, function setKey() (lines 69-95).",CVE-2021-44906,Critical,security,JFrog,minimist,< 1.2.6,1.2.6,2023-02-01T21:16:26-05:00,minimist,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-1321,XRAY-200203,FALSE,npm://minimist:0.0.10,minimist:0.0.10
node-handlebars Template Handling Prototype Manipulation Remote Code Execution,CVE-2019-19919,Critical,security,JFrog,handlebars,"1.0.6,1.0.7 ≤ Version ≤ 1.3.0,2.0.0 ≤ Version ≤ 4.0.13,4.1.0 ≤ Version ≤ 4.1.1","4.0.14,4.1.2",2022-12-13T11:30:49-05:00,handlebars,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-74,XRAY-75751,FALSE,npm://handlebars:4.0.5,handlebars:4.0.5
json-schema is vulnerable to Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),CVE-2021-3918,Critical,security,JFrog,json-schema,< 0.4.0,0.4.0,2023-02-01T21:15:45-05:00,json-schema,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-1321,XRAY-228365,FALSE,npm://json-schema:0.2.3,json-schema:0.2.3
Versions of lodash lower than 4.17.12 are vulnerable to Prototype Pollution. The function defaultsDeep could be tricked into adding or modifying properties of Object.prototype using a constructor payload.,CVE-2019-10744,Critical,security,JFrog,lodash,< 4.17.12,4.17.12,2023-02-01T21:15:54-05:00,lodash,6.4/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:P,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,NVD-CWE-Other,XRAY-85679,FALSE,npm://lodash:2.4.2,lodash:2.4.2
"All versions of bson before 1.1.4 are vulnerable to Deserialization of Untrusted Data. The package will ignore an unknown value for an object's _bsotype, leading to cases where an object is serialized as a document rather than the intended BSON type.",CVE-2020-7610,Critical,security,JFrog,bson,< 1.1.4,1.1.4,2023-02-01T21:16:15-05:00,bson,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,XRAY-95944,FALSE,npm://bson:1.0.9,bson:1.0.9
"All versions of bson before 1.1.4 are vulnerable to Deserialization of Untrusted Data. The package will ignore an unknown value for an object's _bsotype, leading to cases where an object is serialized as a document rather than the intended BSON type.",CVE-2020-7610,Critical,security,JFrog,bson,< 1.1.4,1.1.4,2023-02-01T21:16:15-05:00,bson,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,XRAY-95944,FALSE,npm://bson:1.0.8,bson:1.0.8
"A prototype pollution vulnerability was found in module extend <2.0.2, ~<3.0.2 that allows an attacker to inject arbitrary properties onto Object.prototype.",CVE-2018-16492,Critical,security,JFrog,extend,"< 2.0.2,3.0.0 ≤ Version < 3.0.2","2.0.2,3.0.2",2023-02-01T21:15:22-05:00,extend,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-74,XRAY-75272,FALSE,npm://extend:3.0.0,extend:3.0.0
unset-value Package for Node.js index.js unset() Function Prototype Pollution Arbitrary Code Execution,,Critical,security,JFrog,unset-value,< 2.0.1,2.0.1,2022-12-13T11:30:49-05:00,unset-value,,,,XRAY-198324,FALSE,npm://unset-value:1.0.0,unset-value:1.0.0
"The package y18n before 3.2.2, 4.0.1 and 5.0.5, is vulnerable to Prototype Pollution.",CVE-2020-7774,Critical,security,JFrog,y18n,"< 3.2.2,4.0.0 ≤ Version < 4.0.1,5.0.0 ≤ Version < 5.0.5","3.2.2,4.0.1,5.0.5",2023-02-01T21:17:28-05:00,y18n,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-1321,XRAY-129602,FALSE,npm://y18n:3.2.1,y18n:3.2.1
JS-YAML lib/js-yaml/loader.js storeMappingPair() Function Object Property Handling Arbitrary Code Execution,,Critical,security,JFrog,js-yaml,< 3.13.1,3.13.1,2022-02-15T09:01:14-05:00,js-yaml,,,,XRAY-80240,FALSE,npm://js-yaml:3.6.1,js-yaml:3.6.1
"Minimist <=1.2.5 is vulnerable to Prototype Pollution via file index.js, function setKey() (lines 69-95).",CVE-2021-44906,Critical,security,JFrog,minimist,< 1.2.6,1.2.6,2023-02-01T21:16:26-05:00,minimist,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-1321,XRAY-200203,FALSE,npm://minimist:0.0.8,minimist:0.0.8
The package handlebars before 4.7.7 are vulnerable to Remote Code Execution (RCE) when selecting certain compiling options to compile templates coming from an untrusted source.,CVE-2021-23369,Critical,security,JFrog,handlebars,< 4.7.7,4.7.7,2023-02-01T21:17:33-05:00,handlebars,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,NVD-CWE-noinfo,XRAY-173070,FALSE,npm://handlebars:4.0.5,handlebars:4.0.5
"Minimist <=1.2.5 is vulnerable to Prototype Pollution via file index.js, function setKey() (lines 69-95).",CVE-2021-44906,Critical,security,JFrog,minimist,< 1.2.6,1.2.6,2023-02-01T21:16:26-05:00,minimist,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-1321,XRAY-200203,FALSE,npm://minimist:1.2.0,minimist:1.2.0
This affects the package jsonpointer before 5.0.0. A type confusion vulnerability can lead to a bypass of a previous Prototype Pollution fix when the pointer components are arrays.,CVE-2021-23807,Critical,security,JFrog,jsonpointer,< 5.0.0,5.0.0,2023-02-01T21:15:31-05:00,jsonpointer,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-843,XRAY-189133,FALSE,npm://jsonpointer:4.0.0,jsonpointer:4.0.0
Versions of lodash lower than 4.17.12 are vulnerable to Prototype Pollution. The function defaultsDeep could be tricked into adding or modifying properties of Object.prototype using a constructor payload.,CVE-2019-10744,Critical,security,JFrog,lodash,< 4.17.12,4.17.12,2023-02-01T21:15:54-05:00,lodash,6.4/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:P,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,NVD-CWE-Other,XRAY-85679,FALSE,npm://lodash:4.13.1,lodash:4.13.1
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,CVE-2021-23337,High,security,JFrog,lodash,< 4.17.21,4.17.21,2023-02-01T21:16:02-05:00,lodash,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,7.2/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-94,XRAY-140575,FALSE,npm://lodash:2.4.2,lodash:2.4.2
"A vulnerability was found in the minimatch package. This flaw allows a Regular Expression Denial of Service (ReDoS) when calling the braceExpand function with specific arguments, resulting in a Denial of Service.",CVE-2022-3517,High,security,JFrog,minimatch,< 3.0.5,3.0.5,2023-02-01T21:15:56-05:00,minimatch,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-257996,FALSE,npm://minimatch:3.0.2,minimatch:3.0.2
"A vulnerability was found in the minimatch package. This flaw allows a Regular Expression Denial of Service (ReDoS) when calling the braceExpand function with specific arguments, resulting in a Denial of Service.",CVE-2022-3517,High,security,JFrog,minimatch,< 3.0.5,3.0.5,2023-02-01T21:15:56-05:00,minimatch,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-257996,FALSE,npm://minimatch:0.3.0,minimatch:0.3.0
"The package underscore from 1.13.0-0 and before 1.13.0-2, from 1.3.2 and before 1.12.1 are vulnerable to Arbitrary Code Injection via the template function, particularly when a variable property is passed as an argument as it is not sanitized.",CVE-2021-23358,High,security,JFrog,underscore,1.3.2 ≤ Version < 1.12.1,1.12.1,2023-02-01T21:17:28-05:00,underscore,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,7.2/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-94,XRAY-159876,FALSE,npm://underscore:1.8.3,underscore:1.8.3
"The package underscore from 1.13.0-0 and before 1.13.0-2, from 1.3.2 and before 1.12.1 are vulnerable to Arbitrary Code Injection via the template function, particularly when a variable property is passed as an argument as it is not sanitized.",CVE-2021-23358,High,security,JFrog,underscore,1.3.2 ≤ Version < 1.12.1,1.12.1,2023-02-01T21:17:28-05:00,underscore,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,7.2/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-94,XRAY-159876,FALSE,npm://underscore:1.5.1,underscore:1.5.1
Moment Package for Node.js lib/create/from-string.js preprocessRFC2822() Function Message Parsing Improper Regular Expression DoS,,High,security,JFrog,moment,≤ 2.29.3,,2022-07-25T23:19:29-04:00,moment,,,,XRAY-228529,FALSE,npm://moment:2.24.0,moment:2.24.0
"A vulnerability was found in the minimatch package. This flaw allows a Regular Expression Denial of Service (ReDoS) when calling the braceExpand function with specific arguments, resulting in a Denial of Service.",CVE-2022-3517,High,security,JFrog,minimatch,< 3.0.5,3.0.5,2023-02-01T21:15:56-05:00,minimatch,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-257996,FALSE,npm://minimatch:3.0.3,minimatch:3.0.3
"Marked is a markdown parser and compiler. Prior to version 4.0.10, the regular expression `block.def` may cause catastrophic backtracking against some strings and lead to a regular expression denial of service (ReDoS). Anyone who runs untrusted markdown through a vulnerable version of marked and does not use a worker with a time limit may be affected. This issue is patched in version 4.0.10. As a workaround, avoid running untrusted markdown through marked or run marked on a worker thread and set a reasonable time limit to prevent draining resources.",CVE-2022-21680,High,security,JFrog,marked,< 4.0.10,4.0.10,2023-02-01T21:16:48-05:00,marked,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"CWE-1333,CWE-400",XRAY-194626,FALSE,npm://marked:0.3.9,marked:0.3.9
"The package underscore from 1.13.0-0 and before 1.13.0-2, from 1.3.2 and before 1.12.1 are vulnerable to Arbitrary Code Injection via the template function, particularly when a variable property is passed as an argument as it is not sanitized.",CVE-2021-23358,High,security,JFrog,underscore,1.3.2 ≤ Version < 1.12.1,1.12.1,2023-02-01T21:17:28-05:00,underscore,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,7.2/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-94,XRAY-159876,FALSE,npm://underscore:1.3.3,underscore:1.3.3
"hoek node module before 4.2.0 and 5.0.x before 5.0.3 suffers from a Modification of Assumed-Immutable Data (MAID) vulnerability via 'merge' and 'applyToDefaults' functions, which allows a malicious user to modify the prototype of ""Object"" via __proto__, causing the addition or modification of an existing property that will exist on all objects.",CVE-2018-3728,High,security,JFrog,hoek,"< 4.2.1,5.0.0 ≤ Version < 5.0.3","4.2.1,5.0.3",2023-02-01T21:16:25-05:00,hoek,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,8.8/CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-471,XRAY-73062,FALSE,npm://hoek:2.16.3,hoek:2.16.3
The trim-newlines package before 3.0.1 and 4.x before 4.0.1 for Node.js has an issue related to regular expression denial-of-service (ReDoS) for the .end() method.,CVE-2021-33623,High,security,JFrog,trim-newlines,"< 3.0.1,4.0.0 ≤ Version < 4.0.1","3.0.1,4.0.1",2023-02-01T21:17:40-05:00,trim-newlines,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-176887,FALSE,npm://trim-newlines:1.0.0,trim-newlines:1.0.0
This affects the package glob-parent before 5.1.2. The enclosure regex used to check for strings ending in enclosure containing path separator.,CVE-2020-28469,High,security,JFrog,glob-parent,< 5.1.2,5.1.2,2023-02-01T21:17:40-05:00,glob-parent,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-177872,FALSE,npm://glob-parent:2.0.0,glob-parent:2.0.0
This affects the package glob-parent before 5.1.2. The enclosure regex used to check for strings ending in enclosure containing path separator.,CVE-2020-28469,High,security,JFrog,glob-parent,< 5.1.2,5.1.2,2023-02-01T21:17:40-05:00,glob-parent,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-177872,FALSE,npm://glob-parent:3.1.0,glob-parent:3.1.0
"hoek node module before 4.2.0 and 5.0.x before 5.0.3 suffers from a Modification of Assumed-Immutable Data (MAID) vulnerability via 'merge' and 'applyToDefaults' functions, which allows a malicious user to modify the prototype of ""Object"" via __proto__, causing the addition or modification of an existing property that will exist on all objects.",CVE-2018-3728,High,security,JFrog,hoek,"< 4.2.1,5.0.0 ≤ Version < 5.0.3","4.2.1,5.0.3",2023-02-01T21:16:25-05:00,hoek,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,8.8/CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-471,XRAY-73062,FALSE,npm://hoek:0.9.1,hoek:0.9.1
A vulnerability has been found in OWASP NodeGoat and classified as problematic. This vulnerability affects unknown code of the file app/routes/research.js of the component Query Parameter Handler. The manipulation leads to denial of service. The attack can be initiated remotely. The name of the patch is 4a4d1db74c63fb4ff8d366551c3af006c25ead12. It is recommended to apply a patch to fix this issue. The identifier of this vulnerability is VDB-216184.,CVE-2021-4247,High,security,JFrog,owasp-nodejs-goat,≤ 1.4,,2022-12-23T21:14:20-05:00,owasp-nodejs-goat,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-404,XRAY-412147,TRUE,npm://owasp-nodejs-goat:1.3.0,owasp-nodejs-goat:1.3.0
"Minimatch is a minimal matching utility that works by converting glob expressions into JavaScript `RegExp` objects. The primary function, `minimatch(path, pattern)` in Minimatch 3.0.1 and earlier is vulnerable to ReDoS in the `pattern` parameter.",CVE-2016-10540,High,security,JFrog,minimatch,< 3.0.2,3.0.2,2023-02-01T21:15:32-05:00,minimatch,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-20,XRAY-72610,FALSE,npm://minimatch:0.3.0,minimatch:0.3.0
"In Async before 2.6.4 and 3.x before 3.2.2, a malicious user can obtain privileges via the mapValues() method, aka lib/internal/iterator.js createObjectIterator prototype pollution.",CVE-2021-43138,High,security,JFrog,async,"2.0.0 ≤ Version < 2.6.4,3.0.0 ≤ Version < 3.2.2","2.6.4,3.2.2",2023-02-01T21:15:22-05:00,async,6.8/CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,7.8/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CWE-1321,XRAY-203351,FALSE,npm://async:2.6.1,async:2.6.1
"A vulnerability was found in node-tar before version 4.4.2 (excluding version 2.2.2). An Arbitrary File Overwrite issue exists when extracting a tarball containing a hardlink to a file that already exists on the system, in conjunction with a later plain file with the same name as the hardlink. This plain file content replaces the existing file content. A patch has been applied to node-tar v2.2.2).",CVE-2018-20834,High,security,JFrog,tar,"< 2.2.2,3.0.0 ≤ Version < 4.4.2","2.2.2,4.4.2",2023-02-01T21:15:34-05:00,tar,6.4/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CWE-59,XRAY-81394,FALSE,npm://tar:2.2.1,tar:2.2.1
"the web framework using ljharb's qs module older than v6.3.2, v6.2.3, v6.1.2, and v6.0.4 is vulnerable to a DoS. A malicious user can send a evil request to cause the web framework crash.",CVE-2017-1000048,High,security,JFrog,qs,"< 6.0.4,6.1.0 ≤ Version < 6.1.2,6.2.0 ≤ Version < 6.2.3,6.3.0 ≤ Version < 6.3.2","6.0.4,6.1.2,6.2.3,6.3.2",2023-02-01T21:16:58-05:00,qs,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-20,XRAY-94949,FALSE,npm://qs:0.6.6,qs:0.6.6
"the web framework using ljharb's qs module older than v6.3.2, v6.2.3, v6.1.2, and v6.0.4 is vulnerable to a DoS. A malicious user can send a evil request to cause the web framework crash.",CVE-2017-1000048,High,security,JFrog,qs,"< 6.0.4,6.1.0 ≤ Version < 6.1.2,6.2.0 ≤ Version < 6.2.3,6.3.0 ≤ Version < 6.3.2","6.0.4,6.1.2,6.2.3,6.3.2",2023-02-01T21:16:58-05:00,qs,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-20,XRAY-94949,FALSE,npm://qs:6.2.1,qs:6.2.1
"the web framework using ljharb's qs module older than v6.3.2, v6.2.3, v6.1.2, and v6.0.4 is vulnerable to a DoS. A malicious user can send a evil request to cause the web framework crash.",CVE-2017-1000048,High,security,JFrog,qs,"< 6.0.4,6.1.0 ≤ Version < 6.1.2,6.2.0 ≤ Version < 6.2.3,6.3.0 ≤ Version < 6.3.2","6.0.4,6.1.2,6.2.3,6.3.2",2023-02-01T21:16:58-05:00,qs,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-20,XRAY-94949,FALSE,npm://qs:5.2.1,qs:5.2.1
shelljs is vulnerable to Improper Privilege Management,CVE-2022-0144,High,security,JFrog,shelljs,< 0.8.5,0.8.5,2023-02-01T21:16:48-05:00,shelljs,3.6/CVSS:2.0/AV:L/AC:L/Au:N/C:P/I:N/A:P,7.1/CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,CWE-269,XRAY-194227,FALSE,npm://shelljs:0.3.0,shelljs:0.3.0
"The mime module < 1.4.1, 2.0.1, 2.0.2 is vulnerable to regular expression denial of service when a mime lookup is performed on untrusted user input.",CVE-2017-16138,High,security,JFrog,mime,"< 1.4.1,2.0.0 ≤ Version < 2.0.3","1.4.1,2.0.3",2023-02-01T21:16:25-05:00,mime,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:N/A:P,7.5/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-400,XRAY-72686,FALSE,npm://mime:1.2.11,mime:1.2.11
Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,CVE-2020-8203,High,security,JFrog,lodash,< 4.17.20,4.17.20,2023-02-01T21:15:22-05:00,lodash,5.8/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:P,7.4/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,CWE-1321,XRAY-114089,TRUE,npm://lodash:4.17.19,lodash:4.17.19
Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,CVE-2020-8203,High,security,JFrog,lodash,< 4.17.20,4.17.20,2023-02-01T21:15:22-05:00,lodash,5.8/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:P,7.4/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,CWE-1321,XRAY-114089,FALSE,npm://lodash:2.4.2,lodash:2.4.2
Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,CVE-2020-8203,High,security,JFrog,lodash,< 4.17.20,4.17.20,2023-02-01T21:15:22-05:00,lodash,5.8/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:P,7.4/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,CWE-1321,XRAY-114089,FALSE,npm://lodash:4.13.1,lodash:4.13.1
