CVEs,Components,Source File,Organization,Product,Project,Severity,CVSS,CVSS Type,Status,Library Type,Creation Date,Modified Date,Top Fix,Changed Status - Comment,Changed Status  - User
CVE-2022-1942,vim_8.1.2269-1ubuntu5.9_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.5043
Message: Upgrade to version
Details: https://huntr.dev/bounties/67ca4d3b-9175-43c1-925c-72a7091bc071/",,
CVE-2022-40897,setuptools-59.6.0-py3-none-any.whl,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,5.9,CVSS_3,Active,Python,2023-03-07 00:52:57.0,2023-03-07 00:52:57.0,"Upgrade to version setuptools - 65.5.1
Message: Upgrade to version
Details: https://pyup.io/posts/pyup-discovers-redos-vulnerabilities-in-top-python-packages/",,
CVE-2021-41617,openssh-client_8.2p1-4ubuntu0.5_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.0,CVSS_3,Active,Debian,2023-03-07 00:52:57.0,2023-03-07 00:52:57.0,"Upgrade to version V_8_8_P1
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-41617",,
CVE-2017-15938,binutils_2.34-6ubuntu1.3_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,"Upgrade to version binutils - 2.29.90.20180122-1,2.29.90.20180122-1,2.29.90.20180122-1
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2017-15938",,
CVE-2022-0417,vim_8.1.2269-1ubuntu5.9_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.4245
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-0417",,
CVE-2021-41617,openssh-sftp-server_8.2p1-4ubuntu0.5_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.0,CVSS_3,Active,Debian,2023-03-07 00:52:57.0,2023-03-07 00:52:57.0,"Upgrade to version V_8_8_P1
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-41617",,
CVE-2017-13716,libctf-nobfd0_2.34-6ubuntu1.3_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,5.5,CVSS_3,Active,Debian,2023-03-07 00:52:53.0,2023-03-07 00:52:53.0,,,
CVE-2022-0572,vim_8.1.2269-1ubuntu5.9_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.4359
Message: Upgrade to version
Details: https://huntr.dev/bounties/bf3e0643-03e9-4436-a1c8-74e7111c32bf/",,
CVE-2021-31879,wget_1.20.3-1ubuntu2_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,6.1,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,,,
CVE-2021-36222,libkdb5-9_1.17-6ubuntu4.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Debian,2023-03-07 00:52:54.0,2023-03-07 00:52:54.0,"Upgrade to version libkadm5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-pkinit-debuginfo - 1.18.2-8.3,1.18.2-8.3;libkadm5 - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-pkinit - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-libs - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-server-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-devel-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-libs-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-devel - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5 - 1.18.2-8.3;krb5-debugsource - 1.18.2-8.3,1.18.2-8.3
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2021-36222",,
CVE-2018-6952,patch_2.7.6-6_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version patch - 2.7.6-4
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2018-6952",,
CVE-2021-37750,krb5-locales_1.17-6ubuntu4.1_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,6.5,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,"Upgrade to version libkadm5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-pkinit-debuginfo - 1.18.2-8.3,1.18.2-8.3;libkadm5 - 1.15.1-51,1.15.1-51,1.15.1-51,1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-pkinit - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.15.1-51,1.18.2-8.3,1.18.2-8.3;krb5-debuginfo - 1.15.1-51,1.18.2-8.3,1.15.1-51,1.18.2-8.3;krb5-server - 1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.18.2-8.3;krb5-libs - 1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3,1.15.1-51,1.15.1-51;krb5-server-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-devel-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap - 1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.18.2-8.3;krb5-libs-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation - 1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.15.1-51;krb5-devel - 1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3;krb5 - 1.15.1-51,1.18.2-8.3;krb5-debugsource - 1.18.2-8.3,1.18.2-8.3
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2021-37750",,
CVE-2022-0392,vim-common_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version vim-common - 8.0.1763-16,8.0.1763-16,8.0.1763-16;vim - 8.0.1763-16;vim-enhanced - 8.0.1763-16,8.0.1763-16,8.0.1763-16;vim-filesystem - 8.0.1763-16;vim-X11 - 8.0.1763-16,8.0.1763-16,8.0.1763-16;vim-minimal - 8.0.1763-16,8.0.1763-16,8.0.1763-16
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2022-0392",,
CVE-2021-4193,vim-runtime_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,5.5,CVSS_3,Active,Debian,2023-03-07 00:52:54.0,2023-03-07 00:52:54.0,"Upgrade to version vim-common - 8.0.1763-16,8.0.1763-16,8.0.1763-16;vim - 8.0.1763-16;vim-enhanced - 8.0.1763-16,8.0.1763-16,8.0.1763-16;vim-filesystem - 8.0.1763-16;vim-X11 - 8.0.1763-16,8.0.1763-16,8.0.1763-16;vim-minimal - 8.0.1763-16,8.0.1763-16,8.0.1763-16
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2021-4193",,
CVE-2022-0714,vim_8.1.2269-1ubuntu5.9_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,5.5,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.4436
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-0714",,
CVE-2021-20197,binutils_2.34-6ubuntu1.3_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,6.3,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,"Upgrade to version 2_36
Message: Upgrade to version
Details: https://github.com/bminor/binutils-gdb/commit/365f5fb6d0f0da83817431a275e99e6f6babbe04",,
CVE-2020-13844,g++-9_9.4.0-1ubuntu1~20.04.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,5.5,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,,,
CVE-2021-37750,libgssrpc4_1.17-6ubuntu4.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,6.5,CVSS_3,Active,Debian,2023-03-07 00:52:54.0,2023-03-07 00:52:54.0,"Upgrade to version libkadm5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-pkinit-debuginfo - 1.18.2-8.3,1.18.2-8.3;libkadm5 - 1.15.1-51,1.15.1-51,1.15.1-51,1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-pkinit - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.15.1-51,1.18.2-8.3,1.18.2-8.3;krb5-debuginfo - 1.15.1-51,1.18.2-8.3,1.15.1-51,1.18.2-8.3;krb5-server - 1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.18.2-8.3;krb5-libs - 1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3,1.15.1-51,1.15.1-51;krb5-server-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-devel-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap - 1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.18.2-8.3;krb5-libs-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation - 1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.15.1-51;krb5-devel - 1.18.2-8.3,1.15.1-51,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3,1.18.2-8.3,1.15.1-51,1.15.1-51,1.18.2-8.3;krb5 - 1.15.1-51,1.18.2-8.3;krb5-debugsource - 1.18.2-8.3,1.18.2-8.3
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2021-37750",,
CVE-2022-0408,vim-runtime_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:54.0,2023-03-07 00:52:54.0,"Upgrade to version v8.2.4247
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-0408",,
CVE-2022-0213,vim-runtime_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,6.6,CVSS_3,Active,Debian,2023-03-07 00:52:54.0,2023-03-07 00:52:54.0,"Upgrade to version v8.2.4074
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-0213",,
CVE-2022-1629,vim-common_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.4925
Message: Upgrade to version
Details: https://huntr.dev/bounties/e26d08d4-1886-41f0-9af4-f3e1bf3d52ee/",,
CVE-2006-2607,cron_3.0pl1-136ubuntu1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,8.4,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,"Upgrade to version cron - 3.0pl1-92ubuntu1.1,3.0pl1-100ubuntu2.1,3.0pl1-92ubuntu1.1,3.0pl1-104+ubuntu5.1,3.0pl1-105ubuntu1.1,3.0pl1-100ubuntu2.1,3.0pl1-100ubuntu2.1,3.0pl1-100ubuntu2.1,3.0pl1-100ubuntu2.1,3.0pl1-92ubuntu1.1
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2006-2607",,
CVE-2019-20838,libpcre3_8.39-12ubuntu0.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version 8.43
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-20838",,
CVE-2021-36222,libk5crypto3_1.17-6ubuntu4.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,"Upgrade to version libkadm5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-pkinit-debuginfo - 1.18.2-8.3,1.18.2-8.3;libkadm5 - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-pkinit - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-libs - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-server-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-devel-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-libs-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-devel - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5 - 1.18.2-8.3;krb5-debugsource - 1.18.2-8.3,1.18.2-8.3
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2021-36222",,
CVE-2022-40898,wheel-0.37.1-py2.py3-none-any.whl,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Python,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,"Upgrade to version wheel 0.38.0
Message: Upgrade to version
Details: https://github.com/pypa/wheel/compare/0.37.1...0.38.0",,
CVE-2013-4235,passwd_4.8.1-1ubuntu5.20.04.2_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,4.7,CVSS_3,Active,Debian,2023-03-07 00:52:58.0,2023-03-07 00:52:58.0,,,
CVE-2018-20657,libctf-nobfd0_2.34-6ubuntu1.3_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Debian,2023-03-07 00:52:53.0,2023-03-07 00:52:53.0,"Upgrade to version gdb-debugsource - 8.2-6;gdb-gdbserver - 8.2-6,8.2-6,8.2-6,8.2-6;gdb-debuginfo - 8.2-6;gdb-headless - 8.2-6,8.2-6,8.2-6,8.2-6;gdb - 8.2-6,8.2-6,8.2-6,8.2-6,8.2-6;gdb-doc - 8.2-6
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2018-20657",,
CVE-2021-36222,libgssrpc4_1.17-6ubuntu4.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Debian,2023-03-07 00:52:54.0,2023-03-07 00:52:54.0,"Upgrade to version libkadm5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-pkinit-debuginfo - 1.18.2-8.3,1.18.2-8.3;libkadm5 - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-pkinit - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-libs - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-server-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-devel-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-libs-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-devel - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5 - 1.18.2-8.3;krb5-debugsource - 1.18.2-8.3,1.18.2-8.3
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2021-36222",,
CVE-2022-1674,vim_8.1.2269-1ubuntu5.9_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,5.5,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.4938
Message: Upgrade to version
Details: https://huntr.dev/bounties/a74ba4a4-7a39-4a22-bde3-d2f8ee07b385/",,
CVE-2021-36222,libkadm5srv-mit11_1.17-6ubuntu4.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.5,CVSS_3,Active,Debian,2023-03-07 00:52:53.0,2023-03-07 00:52:53.0,"Upgrade to version libkadm5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-pkinit-debuginfo - 1.18.2-8.3,1.18.2-8.3;libkadm5 - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-pkinit - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-libs - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-server-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-devel-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-server-ldap - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-libs-debuginfo - 1.18.2-8.3,1.18.2-8.3;krb5-workstation - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5-devel - 1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3,1.18.2-8.3;krb5 - 1.18.2-8.3;krb5-debugsource - 1.18.2-8.3,1.18.2-8.3
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2021-36222",,
