Component,,,CVE
org.apache.activemq:activemq-pool:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-run:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-run:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-run:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-run:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-run:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-run:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-runtime-config:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-runtime-config:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-runtime-config:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-runtime-config:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-runtime-config:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-runtime-config:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-shiro:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-shiro:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-shiro:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-shiro:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-shiro:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-shiro:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-spring:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-spring:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-spring:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-spring:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-spring:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-spring:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-stomp:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-stomp:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-stomp:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-stomp:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-stomp:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-stomp:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-web:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-web:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-web:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-web:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-web:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-web:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
ant:ant:1.6.2,BDSA-2018-1836,,BDSA-2018-1836
ant:ant:1.6.2,BDSA-2020-1128 ,CVE-2020-1945,CVE-2020-1945
ant:ant:1.6.2,BDSA-2012-0078,,BDSA-2012-0078
ant:ant:1.6.2,BDSA-2020-2577,,BDSA-2020-2577
ant:ant:1.6.2,BDSA-2021-2083,,BDSA-2021-2083
ant:ant:1.6.2,BDSA-2021-2085,,BDSA-2021-2085
ant:ant-apache-log4j:1.6.5,BDSA-2018-1836,,BDSA-2018-1836
ant:ant-apache-log4j:1.6.5,BDSA-2020-1128 ,CVE-2020-1945,CVE-2020-1945
ant:ant-apache-log4j:1.6.5,BDSA-2012-0078,,BDSA-2012-0078
ant:ant-apache-log4j:1.6.5,BDSA-2020-2577,,BDSA-2020-2577
ant:ant-apache-log4j:1.6.5,BDSA-2021-2083,,BDSA-2021-2083
ant:ant-apache-log4j:1.6.5,BDSA-2021-2085,,BDSA-2021-2085
ant:ant-jsch:1.6.5,BDSA-2018-1836,,BDSA-2018-1836
ant:ant-jsch:1.6.5,BDSA-2020-1128 ,CVE-2020-1945,CVE-2020-1945
ant:ant-jsch:1.6.5,BDSA-2012-0078,,BDSA-2012-0078
ant:ant-jsch:1.6.5,BDSA-2020-2577,,BDSA-2020-2577
ant:ant-jsch:1.6.5,BDSA-2021-2083,,BDSA-2021-2083
ant:ant-jsch:1.6.5,BDSA-2021-2085,,BDSA-2021-2085
ant:ant-junit:1.6.5,BDSA-2018-1836,,BDSA-2018-1836
ant:ant-junit:1.6.5,BDSA-2020-1128 ,CVE-2020-1945,CVE-2020-1945
ant:ant-junit:1.6.5,BDSA-2012-0078,,BDSA-2012-0078
ant:ant-junit:1.6.5,BDSA-2020-2577,,BDSA-2020-2577
ant:ant-junit:1.6.5,BDSA-2021-2083,,BDSA-2021-2083
ant:ant-junit:1.6.5,BDSA-2021-2085,,BDSA-2021-2085
ant:ant-launcher:1.6.5,BDSA-2018-1836,,BDSA-2018-1836
ant:ant-launcher:1.6.5,BDSA-2020-1128 ,CVE-2020-1945,CVE-2020-1945
ant:ant-launcher:1.6.5,BDSA-2012-0078,,BDSA-2012-0078
ant:ant-launcher:1.6.5,BDSA-2020-2577,,BDSA-2020-2577
ant:ant-launcher:1.6.5,BDSA-2021-2083,,BDSA-2021-2083
ant:ant-launcher:1.6.5,BDSA-2021-2085,,BDSA-2021-2085
ant:ant:1.6.5,BDSA-2018-1836,,BDSA-2018-1836
ant:ant:1.6.5,BDSA-2020-1128 ,CVE-2020-1945,CVE-2020-1945
ant:ant:1.6.5,BDSA-2012-0078,,BDSA-2012-0078
ant:ant:1.6.5,BDSA-2020-2577,,BDSA-2020-2577
ant:ant:1.6.5,BDSA-2021-2083,,BDSA-2021-2083
ant:ant:1.6.5,BDSA-2021-2085,,BDSA-2021-2085
org.apache.avro:avro:1.10.2,BDSA-2022-0025 ,CVE-2021-43045,CVE-2021-43045
org.apache.avro:avro:1.10.2,BDSA-2023-2603 ,CVE-2023-39410,CVE-2023-39410
