Summary,Severity,Type,Watch-Name,Violated Resources,Component,Created,policy
"The package underscore from 1.13.0-0 and before 1.13.0-2, from 1.3.2 and before 1.12.1 are vulnerable to Arbitrary Code Injection via the template function, particularly when a variable property is passed as an argument as it is not sanitized.",High,security,everything,all-repos,npm://underscore:1.8.3,2022-12-28T16:04:02-05:00,1 | Security-All
"The package underscore from 1.13.0-0 and before 1.13.0-2, from 1.3.2 and before 1.12.1 are vulnerable to Arbitrary Code Injection via the template function, particularly when a variable property is passed as an argument as it is not sanitized.",High,security,everything,all-repos,npm://underscore:1.5.1,2022-12-28T16:04:02-05:00,1 | Security-All
"The package underscore from 1.13.0-0 and before 1.13.0-2, from 1.3.2 and before 1.12.1 are vulnerable to Arbitrary Code Injection via the template function, particularly when a variable property is passed as an argument as it is not sanitized.",High,security,everything,all-repos,npm://underscore:1.3.3,2022-12-28T16:04:02-05:00,1 | Security-All
A vulnerability was found in Braces versions prior to 2.3.1. Affected versions of this package are vulnerable to Regular Expression Denial of Service (ReDoS) attacks.,Medium,security,everything,all-repos,npm://braces:1.8.5,2022-12-28T16:04:02-05:00,1 | Security-All
It was discovered that the is-my-json-valid JavaScript library used an inefficient regular expression to validate JSON fields defined to have email format. A specially crafted JSON file could cause it to consume an excessive amount of CPU time when validated.,Medium,security,everything,all-repos,npm://is-my-json-valid:2.15.0,2022-12-28T16:04:03-05:00,1 | Security-All
The package handlebars before 4.7.7 are vulnerable to Remote Code Execution (RCE) when selecting certain compiling options to compile templates coming from an untrusted source.,Critical,security,everything,all-repos,npm://handlebars:4.0.5,2022-12-28T16:04:02-05:00,1 | Security-All
"All versions of package path-parse are vulnerable to Regular Expression Denial of Service (ReDoS) via splitDeviceRe, splitTailRe, and splitPathRe regular expressions. ReDoS exhibits polynomial worst-case time complexity.",High,security,everything,all-repos,npm://path-parse:1.0.5,2022-12-28T16:04:02-05:00,1 | Security-All
Cypress packages/server/lib/gui/windows.ts webPreferences Missing Context Isolation Test Handling Stored XSS,Medium,security,everything,all-repos,npm://cypress:3.8.3,2022-12-28T16:04:03-05:00,1 | Security-All
The package handlebars before 4.7.7 are vulnerable to Prototype Pollution when selecting certain compiling options to compile templates coming from an untrusted source.,Critical,security,everything,all-repos,npm://handlebars:4.0.5,2022-12-28T16:04:02-05:00,1 | Security-All
The trim-newlines package before 3.0.1 and 4.x before 4.0.1 for Node.js has an issue related to regular expression denial-of-service (ReDoS) for the .end() method.,High,security,everything,all-repos,npm://trim-newlines:1.0.0,2022-12-28T16:04:02-05:00,1 | Security-All
This affects the package glob-parent before 5.1.2. The enclosure regex used to check for strings ending in enclosure containing path separator.,High,security,everything,all-repos,npm://glob-parent:3.1.0,2022-12-28T16:04:03-05:00,1 | Security-All
This affects the package glob-parent before 5.1.2. The enclosure regex used to check for strings ending in enclosure containing path separator.,High,security,everything,all-repos,npm://glob-parent:2.0.0,2022-12-28T16:04:03-05:00,1 | Security-All
"The npm package ""tar"" (aka node-tar) before versions 6.1.1, 5.0.6, 4.4.14, and 3.3.2 has a arbitrary File Creation/Overwrite vulnerability due to insufficient absolute path sanitization. node-tar aims to prevent extraction of absolute file paths by turning absolute paths into relative paths when the `preservePaths` flag is not set to `true`. This is achieved by stripping the absolute path root from any absolute file paths contained in a tar file. For example `/home/user/.bashrc` would turn into `home/user/.bashrc`. This logic was insufficient when file paths contained repeated path roots such as `////home/user/.bashrc`. `node-tar` would only strip a single path root from such paths. When given an absolute file path with repeating path roots, the resulting path (e.g. `///home/user/.bashrc`) would still resolve to an absolute path, thus allowing arbitrary file creation and overwrite. This issue was addressed in releases 3.2.2, 4.4.14, 5.0.6 and 6.1.1. Users may work around this vulnerability without upgrading by creating a custom `onentry` method which sanitizes the `entry.path` or a `filter` method which removes entries with absolute paths. See referenced GitHub Advisory for details. Be aware of CVE-2021-32803 which fixes a similar bug in later versions of tar.",High,security,everything,all-repos,npm://tar:2.2.1,2022-12-28T16:04:02-05:00,1 | Security-All
"The npm package ""tar"" (aka node-tar) before versions 6.1.2, 5.0.7, 4.4.15, and 3.2.3 has an arbitrary File Creation/Overwrite vulnerability via insufficient symlink protection. `node-tar` aims to guarantee that any file whose location would be modified by a symbolic link is not extracted. This is, in part, achieved by ensuring that extracted directories are not symlinks. Additionally, in order to prevent unnecessary `stat` calls to determine whether a given path is a directory, paths are cached when directories are created. This logic was insufficient when extracting tar files that contained both a directory and a symlink with the same name as the directory. This order of operations resulted in the directory being created and added to the `node-tar` directory cache. When a directory is present in the directory cache, subsequent calls to mkdir for that directory are skipped. However, this is also where `node-tar` checks for symlinks occur. By first creating a directory, and then replacing that directory with a symlink, it was thus possible to bypass `node-tar` symlink checks on directories, essentially allowing an untrusted tar file to symlink into an arbitrary location and subsequently extracting arbitrary files into that location, thus allowing arbitrary file creation and overwrite. This issue was addressed in releases 3.2.3, 4.4.15, 5.0.7 and 6.1.2.",High,security,everything,all-repos,npm://tar:2.2.1,2022-12-28T16:04:02-05:00,1 | Security-All
"The npm package ""tar"" (aka node-tar) before versions 4.4.18, 5.0.10, and 6.1.9 has an arbitrary file creation/overwrite and arbitrary code execution vulnerability. node-tar aims to guarantee that any file whose location would be outside of the extraction target directory is not extracted. This is, in part, accomplished by sanitizing absolute paths of entries within the archive, skipping archive entries that contain `..` path portions, and resolving the sanitized paths against the extraction target directory. This logic was insufficient on Windows systems when extracting tar files that contained a path that was not an absolute path, but specified a drive letter different from the extraction target, such as `C:some\path`. If the drive letter does not match the extraction target, for example `D:\extraction\dir`, then the result of `path.resolve(extractionDirectory, entryPath)` would resolve against the current working directory on the `C:` drive, rather than the extraction target directory. Additionally, a `..` portion of the path could occur immediately after the drive letter, such as `C:../foo`, and was not properly sanitized by the logic that checked for `..` within the normalized and split portions of the path. This only affects users of `node-tar` on Windows systems. These issues were addressed in releases 4.4.18, 5.0.10 and 6.1.9. The v3 branch of node-tar has been deprecated and did not receive patches for these issues. If you are still using a v3 release we recommend you update to a more recent version of node-tar. There is no reasonable way to work around this issue without performing the same path normalization procedures that node-tar now does. Users are encouraged to upgrade to the latest patched versions of node-tar, rather than attempt to sanitize paths themselves.",High,security,everything,all-repos,npm://tar:2.2.1,2022-12-28T16:04:03-05:00,1 | Security-All
"The npm package ""tar"" (aka node-tar) before versions 4.4.18, 5.0.10, and 6.1.9 has an arbitrary file creation/overwrite and arbitrary code execution vulnerability. node-tar aims to guarantee that any file whose location would be modified by a symbolic link is not extracted. This is, in part, achieved by ensuring that extracted directories are not symlinks. Additionally, in order to prevent unnecessary stat calls to determine whether a given path is a directory, paths are cached when directories are created. This logic was insufficient when extracting tar files that contained both a directory and a symlink with names containing unicode values that normalized to the same value. Additionally, on Windows systems, long path portions would resolve to the same file system entities as their 8.3 ""short path"" counterparts. A specially crafted tar archive could thus include a directory with one form of the path, followed by a symbolic link with a different string that resolves to the same file system entity, followed by a file using the first form. By first creating a directory, and then replacing that directory with a symlink that had a different apparent name that resolved to the same entry in the filesystem, it was thus possible to bypass node-tar symlink checks on directories, essentially allowing an untrusted tar file to symlink into an arbitrary location and subsequently extracting arbitrary files into that location, thus allowing arbitrary file creation and overwrite. These issues were addressed in releases 4.4.18, 5.0.10 and 6.1.9. The v3 branch of node-tar has been deprecated and did not receive patches for these issues. If you are still using a v3 release we recommend you update to a more recent version of node-tar. If this is not possible, a workaround is available in the referenced GHSA-qq89-hq3f-393p.",High,security,everything,all-repos,npm://tar:2.2.1,2022-12-28T16:04:02-05:00,1 | Security-All
"The npm package ""tar"" (aka node-tar) before versions 4.4.16, 5.0.8, and 6.1.7 has an arbitrary file creation/overwrite and arbitrary code execution vulnerability. node-tar aims to guarantee that any file whose location would be modified by a symbolic link is not extracted. This is, in part, achieved by ensuring that extracted directories are not symlinks. Additionally, in order to prevent unnecessary stat calls to determine whether a given path is a directory, paths are cached when directories are created. This logic was insufficient when extracting tar files that contained both a directory and a symlink with the same name as the directory, where the symlink and directory names in the archive entry used backslashes as a path separator on posix systems. The cache checking logic used both `\` and `/` characters as path separators, however `\` is a valid filename character on posix systems. By first creating a directory, and then replacing that directory with a symlink, it was thus possible to bypass node-tar symlink checks on directories, essentially allowing an untrusted tar file to symlink into an arbitrary location and subsequently extracting arbitrary files into that location, thus allowing arbitrary file creation and overwrite. Additionally, a similar confusion could arise on case-insensitive filesystems. If a tar archive contained a directory at `FOO`, followed by a symbolic link named `foo`, then on case-insensitive file systems, the creation of the symbolic link would remove the directory from the filesystem, but _not_ from the internal directory cache, as it would not be treated as a cache hit. A subsequent file entry within the `FOO` directory would then be placed in the target of the symbolic link, thinking that the directory had already been created. These issues were addressed in releases 4.4.16, 5.0.8 and 6.1.7. The v3 branch of node-tar has been deprecated and did not receive patches for these issues. If you are still using a v3 release we recommend you update to a more recent version of node-tar. I",High,security,everything,all-repos,npm://tar:2.2.1,2022-12-28T16:04:01-05:00,1 | Security-All
JS-YAML Package for Node.js lib/loader.js readAlias() Function YAML Anchor Handling Arbitrary Code Execution,Medium,security,everything,all-repos,npm://js-yaml:3.6.1,2022-12-28T16:04:02-05:00,1 | Security-All
This affects the package jsonpointer before 5.0.0. A type confusion vulnerability can lead to a bypass of a previous Prototype Pollution fix when the pointer components are arrays.,Critical,security,everything,all-repos,npm://jsonpointer:4.0.0,2022-12-28T16:04:03-05:00,1 | Security-All
shelljs is vulnerable to Improper Privilege Management,High,security,everything,all-repos,npm://shelljs:0.3.0,2022-12-28T16:04:01-05:00,1 | Security-All
"Marked is a markdown parser and compiler. Prior to version 4.0.10, the regular expression `block.def` may cause catastrophic backtracking against some strings and lead to a regular expression denial of service (ReDoS). Anyone who runs untrusted markdown through a vulnerable version of marked and does not use a worker with a time limit may be affected. This issue is patched in version 4.0.10. As a workaround, avoid running untrusted markdown through marked or run marked on a worker thread and set a reasonable time limit to prevent draining resources.",High,security,everything,all-repos,npm://marked:0.3.9,2022-12-28T16:04:03-05:00,1 | Security-All
"Marked is a markdown parser and compiler. Prior to version 4.0.10, the regular expression `inline.reflinkSearch` may cause catastrophic backtracking against some strings and lead to a denial of service (DoS). Anyone who runs untrusted markdown through a vulnerable version of marked and does not use a worker with a time limit may be affected. This issue is patched in version 4.0.10. As a workaround, avoid running untrusted markdown through marked or run marked on a worker thread and set a reasonable time limit to prevent draining resources.",High,security,everything,all-repos,npm://marked:0.3.9,2022-12-28T16:04:02-05:00,1 | Security-All
unset-value Package for Node.js index.js unset() Function Prototype Pollution Arbitrary Code Execution,Critical,security,everything,all-repos,npm://unset-value:1.0.0,2022-12-28T16:04:02-05:00,1 | Security-All
Commander.js Package for Node.js index.js parse() Function Argument Parsing Arbitrary Code Execution Weakness,Unknown,security,everything,all-repos,npm://commander:0.6.1,2022-12-28T16:04:02-05:00,1 | Security-All
Commander.js Package for Node.js index.js parse() Function Argument Parsing Arbitrary Code Execution Weakness,Unknown,security,everything,all-repos,npm://commander:0.5.2,2022-12-28T16:04:02-05:00,1 | Security-All
Commander.js Package for Node.js index.js parse() Function Argument Parsing Arbitrary Code Execution Weakness,Unknown,security,everything,all-repos,npm://commander:2.9.0,2022-12-28T16:04:02-05:00,1 | Security-All
Commander.js Package for Node.js index.js parse() Function Argument Parsing Arbitrary Code Execution Weakness,Unknown,security,everything,all-repos,npm://commander:2.5.1,2022-12-28T16:04:02-05:00,1 | Security-All
Commander.js Package for Node.js index.js parse() Function Argument Parsing Arbitrary Code Execution Weakness,Unknown,security,everything,all-repos,npm://commander:2.15.1,2022-12-28T16:04:02-05:00,1 | Security-All
Commander.js Package for Node.js index.js parse() Function Argument Parsing Arbitrary Code Execution Weakness,Unknown,security,everything,all-repos,npm://commander:2.3.0,2022-12-28T16:04:02-05:00,1 | Security-All
tap-mocha-reporter lib/utils.js Regular Expression Remote DoS,High,security,everything,all-repos,npm://tap-mocha-reporter:2.0.1,2022-12-28T16:04:02-05:00,1 | Security-All
"Minimist <=1.2.5 is vulnerable to Prototype Pollution via file index.js, function setKey() (lines 69-95).",Critical,security,everything,all-repos,npm://minimist:0.0.10,2022-12-28T16:04:02-05:00,1 | Security-All
"Minimist <=1.2.5 is vulnerable to Prototype Pollution via file index.js, function setKey() (lines 69-95).",Critical,security,everything,all-repos,npm://minimist:1.2.0,2022-12-28T16:04:02-05:00,1 | Security-All
"Minimist <=1.2.5 is vulnerable to Prototype Pollution via file index.js, function setKey() (lines 69-95).",Critical,security,everything,all-repos,npm://minimist:0.0.8,2022-12-28T16:04:02-05:00,1 | Security-All
"Moment.js is a JavaScript date library for parsing, validating, manipulating, and formatting dates. A path traversal vulnerability impacts npm (server) users of Moment.js between versions 1.0.1 and 2.29.1, especially if a user-provided locale string is directly used to switch moment locale. This problem is patched in 2.29.2, and the patch can be applied to all affected versions. As a workaround, sanitize the user-provided locale name before passing it to Moment.js.",High,security,everything,all-repos,npm://moment:2.24.0,2022-12-28T16:04:03-05:00,1 | Security-All
"In Async before 2.6.4 and 3.x before 3.2.2, a malicious user can obtain privileges via the mapValues() method, aka lib/internal/iterator.js createObjectIterator prototype pollution.",High,security,everything,all-repos,npm://async:2.6.1,2022-12-28T16:04:02-05:00,1 | Security-All
"This affects the package nconf before 0.11.4. When using the memory engine, it is possible to store a nested JSON representation of the configuration. The .set() function, that is responsible for setting the configuration properties, is vulnerable to Prototype Pollution. By providing a crafted property, it is possible to modify the properties on the Object.prototype.",High,security,everything,all-repos,npm://nconf:0.6.9,2022-12-28T16:04:02-05:00,1 | Security-All
"This affects the package nconf before 0.11.4. When using the memory engine, it is possible to store a nested JSON representation of the configuration. The .set() function, that is responsible for setting the configuration properties, is vulnerable to Prototype Pollution. By providing a crafted property, it is possible to modify the properties on the Object.prototype.",High,security,everything,all-repos,npm://nconf:0.10.0,2022-12-28T16:04:02-05:00,1 | Security-All
"The ejs (aka Embedded JavaScript templates) package 3.1.6 for Node.js allows server-side template injection in settings[view options][outputFunctionName]. This is parsed as an internal option, and overwrites the outputFunctionName option with an arbitrary OS command (which is executed upon template compilation).",Critical,security,everything,all-repos,npm://ejs:0.4.3,2022-12-28T16:04:02-05:00,1 | Security-All
"Hawk is an HTTP authentication scheme providing mechanisms for making authenticated HTTP requests with partial cryptographic verification of the request and response, covering the HTTP method, request URI, host, and optionally the request payload. Hawk used a regular expression to parse `Host` HTTP header (`Hawk.utils.parseHost()`), which was subject to regular expression DoS attack - meaning each added character in the attacker's input increases the computation time exponentially. `parseHost()` was patched in `9.0.1` to use built-in `URL` class to parse hostname instead. `Hawk.authenticate()` accepts `options` argument. If that contains `host` and `port`, those would be used instead of a call to `utils.parseHost()`.",High,security,everything,all-repos,npm://hawk:3.1.3,2022-12-28T16:04:02-05:00,1 | Security-All
"Hawk is an HTTP authentication scheme providing mechanisms for making authenticated HTTP requests with partial cryptographic verification of the request and response, covering the HTTP method, request URI, host, and optionally the request payload. Hawk used a regular expression to parse `Host` HTTP header (`Hawk.utils.parseHost()`), which was subject to regular expression DoS attack - meaning each added character in the attacker's input increases the computation time exponentially. `parseHost()` was patched in `9.0.1` to use built-in `URL` class to parse hostname instead. `Hawk.authenticate()` accepts `options` argument. If that contains `host` and `port`, those would be used instead of a call to `utils.parseHost()`.",High,security,everything,all-repos,npm://hawk:1.0.0,2022-12-28T16:04:02-05:00,1 | Security-All
json-schema is vulnerable to Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),Critical,security,everything,all-repos,npm://json-schema:0.2.3,2022-12-28T16:04:03-05:00,1 | Security-All
Moment Package for Node.js lib/create/from-string.js preprocessRFC2822() Function Message Parsing Improper Regular Expression DoS,High,security,everything,all-repos,npm://moment:2.24.0,2022-12-28T16:04:03-05:00,1 | Security-All
Mocha Package for Node.js lib/utils.js clean() Function Improper Regular Expression DoS,High,security,everything,all-repos,npm://mocha:2.5.3,2022-12-28T16:04:03-05:00,1 | Security-All
Mocha Package for Node.js lib/utils.js clean() Function Improper Regular Expression DoS,High,security,everything,all-repos,npm://mocha:2.0.1,2022-12-28T16:04:03-05:00,1 | Security-All
JavaScript Big Number (jsbn) index.js Multiple Functions Timing Side-channel Information Disclosure,Medium,security,everything,all-repos,npm://jsbn:0.1.1,2022-12-28T16:04:02-05:00,1 | Security-All
JavaScript Big Number (jsbn) index.js Multiple Functions Timing Side-channel Information Disclosure,Medium,security,everything,all-repos,npm://jsbn:0.1.0,2022-12-28T16:04:02-05:00,1 | Security-All
The got package before 12.1.0 (also fixed in 11.8.5) for Node.js allows a redirect to a UNIX socket.,Medium,security,everything,all-repos,npm://got:6.7.1,2022-12-28T16:04:02-05:00,1 | Security-All
"moment is a JavaScript date library for parsing, validating, manipulating, and formatting dates. Affected versions of moment were found to use an inefficient parsing algorithm. Specifically using string-to-date parsing in moment (more specifically rfc2822 parsing, which is tried by default) has quadratic (N^2) complexity on specific inputs. Users may notice a noticeable slowdown is observed with inputs above 10k characters. Users who pass user-provided strings without sanity length checks to moment constructor are vulnerable to (Re)DoS attacks. The problem is patched in 2.29.4, the patch can be applied to all affected versions with minimal tweaking. Users are advised to upgrade. Users unable to upgrade should consider limiting date lengths accepted from user input.",High,security,everything,all-repos,npm://moment:2.24.0,2022-12-28T16:04:03-05:00,1 | Security-All
"A vulnerability was found in the minimatch package. This flaw allows a Regular Expression Denial of Service (ReDoS) when calling the braceExpand function with specific arguments, resulting in a Denial of Service.",High,security,everything,all-repos,npm://minimatch:0.3.0,2022-12-28T16:04:03-05:00,1 | Security-All
"A vulnerability was found in the minimatch package. This flaw allows a Regular Expression Denial of Service (ReDoS) when calling the braceExpand function with specific arguments, resulting in a Denial of Service.",High,security,everything,all-repos,npm://minimatch:3.0.3,2022-12-28T16:04:03-05:00,1 | Security-All
"A vulnerability was found in the minimatch package. This flaw allows a Regular Expression Denial of Service (ReDoS) when calling the braceExpand function with specific arguments, resulting in a Denial of Service.",High,security,everything,all-repos,npm://minimatch:3.0.2,2022-12-28T16:04:03-05:00,1 | Security-All
"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&a[__proto__]&a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has ""deps: qs@6.9.7"" in its release description, is not vulnerable).",High,security,everything,all-repos,npm://qs:0.6.6,2022-12-28T16:04:02-05:00,1 | Security-All
"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&a[__proto__]&a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has ""deps: qs@6.9.7"" in its release description, is not vulnerable).",High,security,everything,all-repos,npm://qs:6.2.1,2022-12-28T16:04:02-05:00,1 | Security-All
"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&a[__proto__]&a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has ""deps: qs@6.9.7"" in its release description, is not vulnerable).",High,security,everything,all-repos,npm://qs:5.2.1,2022-12-28T16:04:02-05:00,1 | Security-All
A vulnerability has been found in OWASP NodeGoat and classified as problematic. This vulnerability affects unknown code of the file app/routes/research.js of the component Query Parameter Handler. The manipulation leads to denial of service. The attack can be initiated remotely. The name of the patch is 4a4d1db74c63fb4ff8d366551c3af006c25ead12. It is recommended to apply a patch to fix this issue. The identifier of this vulnerability is VDB-216184.,High,security,everything,all-repos,npm://owasp-nodejs-goat:1.3.0,2022-12-28T16:04:02-05:00,1 | Security-All
A ReDoS (regular expression denial of service) flaw was found in the tough-cookie module before 2.3.3 for Node.js. An attacker that is able to make an HTTP request using a specially crafted cookie may cause the application to consume an excessive amount of CPU.,High,security,everything,all-repos,npm://tough-cookie:2.2.2,2022-12-28T16:04:03-05:00,1 | Security-All
A ReDoS (regular expression denial of service) flaw was found in the tough-cookie module before 2.3.3 for Node.js. An attacker that is able to make an HTTP request using a specially crafted cookie may cause the application to consume an excessive amount of CPU.,High,security,everything,all-repos,npm://tough-cookie:2.3.1,2022-12-28T16:04:03-05:00,1 | Security-All
"The is-my-json-valid package before 2.12.4 for Node.js has an incorrect exports['utc-millisec'] regular expression, which allows remote attackers to cause a denial of service (blocked event loop) via a crafted string.",High,security,everything,all-repos,npm://is-my-json-valid:2.15.0,2022-12-28T16:04:03-05:00,1 | Security-All
"The uglify-js package before 2.6.0 for Node.js allows attackers to cause a denial of service (CPU consumption) via crafted input in a parse call, aka a ""regular expression denial of service (ReDoS).""",High,security,everything,all-repos,npm://uglify-js:2.4.24,2022-12-28T16:04:03-05:00,1 | Security-All
"The qs module before 1.0.0 does not have an option or default for specifying object depth and when parsing a string representing a deeply nested object will block the event loop for long periods of time. An attacker could leverage this to cause a temporary denial-of-service condition, for example, in a web application, other requests would not be processed while this blocking is occurring.",High,security,everything,all-repos,npm://qs:0.6.6,2022-12-28T16:04:03-05:00,1 | Security-All
