Group Name,Project Name,Tool,Scanner Name,Status,Vulnerability,Details,Additional Info,Severity,CVE,CWE,Other Identifiers,Detected At,Location,Activity,Comments,Full Path,CVSS Vectors
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Input Validation,NodeJS Tough-Cookie version 2.2.2 contains a Regular Expression Parsing vulnerability in HTTP request Cookie Header parsing that can result in Denial of Service. This attack appear to be exploitable via Custom HTTP header passed by client. This vulnerability appears to have been fixed in 2.3.0.,,medium,CVE-2016-1000232,,GHSA-qhv9-728r-6jqg; Gemnasium-0af35243-72f5-442c-9a8a-4a0ab71d8e78,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""tough-cookie""}, ""version""=>""2.2.2""}}",false,"",test-group260849/NodeGoat/101844026,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L=NVD; AV:N/AC:L/Au:N/C:N/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Input Validation,"A flaw (CVE-2022-38900) was discovered in one of Kibana’s third party dependencies, that could allow an authenticated user to perform a request that crashes the Kibana server process.",,medium,CVE-2022-38778,,Gemnasium-0da20c37-9ff9-4935-993d-9fb8e6f74bff,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""decode-uri-component""}, ""version""=>""0.2.0""}}",false,"",test-group260849/NodeGoat/101844027,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Direct Request (Forced Browsing),Prototype pollution vulnerability in dot-prop npm package version allows an attacker to add arbitrary properties to JavaScript language constructs such as objects.,,high,CVE-2020-8116,,Gemnasium-da820ca1-f0b5-4194-b3cd-bc3277d0aaf4; GHSA-ff7x-qrg7-qggm,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""dot-prop""}, ""version""=>""4.2.0""}}",false,"",test-group260849/NodeGoat/101844028,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L=NVD; AV:N/AC:L/Au:N/C:P/I:P/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Inefficient Regular Expression Complexity,ansi-regex is vulnerable to Inefficient Regular Expression Complexity,,high,CVE-2021-3807,,Gemnasium-d3380f7d-f611-46f0-8561-96d3a1eb9fa9,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""ansi-regex""}, ""version""=>""3.0.0""}}",false,"",test-group260849/NodeGoat/101844029,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD; AV:N/AC:L/Au:N/C:N/I:N/A:C=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Regular Expression Denial of Service,"Hawk is an HTTP authentication scheme providing mechanisms for making authenticated HTTP requests with partial cryptographic verification of the request and response, covering the HTTP method, request URI, host, and optionally the request payload. Hawk used a regular expression to parse `Host` HTTP header (`Hawk.utils.parseHost()`), which was subject to regular expression DoS attack - meaning each added character in the attacker's input increases the computation time exponentially. `parseHost()` was patched in `9.0.1` to use built-in `URL` class to parse hostname instead. `Hawk.authenticate()` accepts `options` argument. If that contains `host` and `port`, those would be used instead of a call to `utils.parseHost()`.",,high,CVE-2022-29167,,GHSA-44pw-h2cw-w3vq; Gemnasium-0206d2fc-7b2d-4ee9-a9ef-d62f97a732f8,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""hawk""}, ""version""=>""1.0.0""}}",false,"",test-group260849/NodeGoat/101844030,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD; AV:N/AC:L/Au:N/C:N/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Out-of-bounds Read,Versions less than of the Node.js stringstream module are vulnerable to an out-of-bounds read because of allocation of uninitialized buffers when a number is passed in the input stream (when using Node.js ).,,medium,CVE-2018-21270,,Gemnasium-bccf1e88-7ea9-48ed-aa16-6ba05f0793b7; GHSA-mf6x-7mm4-x2g7,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""stringstream""}, ""version""=>""0.0.5""}}",false,"",test-group260849/NodeGoat/101844031,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:H=NVD; AV:N/AC:M/Au:N/C:P/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Denial-of-Service Extended Event Loop Blocking,qs is affected by a denial of service vulnerability that results from excessive recursion in parsing a deeply nested JSON string.,,unknown,,,Gemnasium-dc790c1c-61ce-4295-ae2d-5e02a42a7de5,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""qs""}, ""version""=>""0.6.6""}}",false,"",test-group260849/NodeGoat/101844032,""
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Regular Expression Denial of Service (ReDoS),The trim-newlines package for Node.js has an issue related to regular expression denial-of-service (ReDoS) for the `.end()` method.,,high,CVE-2021-33623,,Gemnasium-5bbf7651-47eb-42d9-95fe-8d941913de3d,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""trim-newlines""}, ""version""=>""1.0.0""}}",false,"",test-group260849/NodeGoat/101844033,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD; AV:N/AC:L/Au:N/C:N/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Regular Expression Denial of Service,The `tough-cookie` module is vulnerable to regular expression denial of service. Input of around k characters is required for a slow down of around 2 seconds. Unless node was compiled using the `-DHTTP_MAX_HEADER_SIZE=` option the default header max length is kb so the impact of the ReDoS is limited to around seconds of blocking.,,unknown,,,Gemnasium-29853e80-30d2-40ef-874a-89ca1734dec2,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""tough-cookie""}, ""version""=>""2.2.2""}}",false,"",test-group260849/NodeGoat/101844034,""
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Inefficient Regular Expression Complexity,"A vulnerability, which was classified as problematic, has been found in vercel ms up to 1.x. This issue affects the function parse of the file index.js. The manipulation of the argument str leads to inefficient regular expression complexity. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. Upgrading to version 2.0.0 is able to address this issue. The name of the patch is caae2988ba2a37765d055c4eee63d383320ee662. It is recommended to upgrade the affected component. The associated identifier of this vulnerability is VDB-217451.",,medium,CVE-2017-20162,,Gemnasium-f988ffe0-c8fa-47fd-8903-0c4b5097f8d1; GHSA-w9mr-4mfr-499f,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""ms""}, ""version""=>""0.7.1""}}",false,"",test-group260849/NodeGoat/101844035,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Access of Resource Using Incompatible Type ('Type Confusion'),This affects the package jsonpointer A type confusion vulnerability can lead to a bypass of a previous Prototype Pollution fix when the pointer components are arrays.,,critical,CVE-2021-23807,,Gemnasium-0154410b-f780-4284-8fec-7e565b6e82aa,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""jsonpointer""}, ""version""=>""4.0.0""}}",false,"",test-group260849/NodeGoat/101844036,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=NVD; AV:N/AC:L/Au:N/C:P/I:P/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Denial-of-Service Memory Exhaustion in qs,"The qs module before 1.0.0 in Node.js does not call the compact function for array data, which allows remote attackers to cause a denial of service (memory consumption) by using a large index value to create a sparse array.",,medium,CVE-2014-7191,,GHSA-jjv7-qpx3-h62q; Gemnasium-d6dfa81b-9788-4f21-8fec-3a25f3875dad,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""qs""}, ""version""=>""0.6.6""}}",false,"",test-group260849/NodeGoat/101844037,AV:N/AC:L/Au:N/C:N/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,decode-uri-component vulnerable to Denial of Service (DoS),decode-uri-component 0.2.0 is vulnerable to Improper Input Validation resulting in DoS.,,high,CVE-2022-38900,,GHSA-w573-4hg7-7wgq; Gemnasium-a5994206-f97a-4d63-9437-4bc6f6b1dbe8,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""decode-uri-component""}, ""version""=>""0.2.0""}}",false,"",test-group260849/NodeGoat/101844038,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Insufficient Entropy,Eran Hammer cryptiles contains an Insufficient Entropy vulnerability in `randomDigits()`. An attacker is more likely to be able to brute force something that was supposed to be random. This attack appear to be exploitable depending upon the calling application.,,critical,CVE-2018-1000620,,Gemnasium-de36ea12-2c68-48fc-9bfe-ae8f0d6ebd96,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""cryptiles""}, ""version""=>""0.2.2""}}",false,"",test-group260849/NodeGoat/101844039,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=NVD; AV:N/AC:L/Au:N/C:P/I:N/A:N=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Inefficient Regular Expression Complexity,A vulnerability classified as problematic has been found in debug-js debug up to 3.0.x. This affects the function useColors of the file src/node.js. The manipulation of the argument str leads to inefficient regular expression complexity. Upgrading to version 3.1.0 is able to address this issue. The name of the patch is c38a0166c266a679c8de012d4eaccec3f944e685. It is recommended to upgrade the affected component. The identifier VDB-217665 was assigned to this vulnerability.,,high,CVE-2017-20165,,Gemnasium-9fd81108-f566-4459-8f4c-e10c54608eb7; GHSA-9vvw-cc9w-f27h,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""debug""}, ""version""=>""2.2.0""}}",false,"",test-group260849/NodeGoat/101844040,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Regular Expression Denial of Service (ReDoS),"A vulnerability was found in diff before v3.5.0, the affected versions of this package are vulnerable to Regular Expression Denial of Service (ReDoS) attacks.",,unknown,,,Gemnasium-3eb80094-af74-4045-94b5-8cc1c20be7a3; GHSA-h6ch-v84p-w6p9,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""diff""}, ""version""=>""1.4.0""}}",false,"",test-group260849/NodeGoat/101844041,""
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Type checking vulnerability,`ctorName` allows external user input to overwrite certain internal attributes via a conflicting name.,,high,CVE-2019-20149,,Gemnasium-c69c3883-e67c-4be5-a4dd-ce1d82173049,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""kind-of""}, ""version""=>""3.0.3""}}",false,"",test-group260849/NodeGoat/101844042,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N=NVD; AV:N/AC:L/Au:N/C:N/I:P/A:N=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Inefficient Regular Expression Complexity,mocha is vulnerable to ReDos,,high,,,Gemnasium-9b8d87cf-c697-4ae5-b199-ea346f243656,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""mocha""}, ""version""=>""2.5.3""}}",false,"",test-group260849/NodeGoat/101844043,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=Unknown; AV:N/AC:L/Au:N/C:N/I:N/A:P=Unknown
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Inefficient Regular Expression Complexity,"moment is a JavaScript date library for parsing, validating, manipulating, and formatting dates. Affected versions of moment were found to use an inefficient parsing algorithm. Specifically using string-to-date parsing in moment (more specifically rfc2822 parsing, which is tried by default) has quadratic (N^2) complexity on specific inputs. Users may notice a noticeable slowdown is observed with inputs above 10k characters. Users who pass user-provided strings without sanity length checks to moment constructor is vulnerable to (Re)DoS attacks. The problem is patched in 2.29.4, the patch can be applied to all affected versions with minimal tweaking. Users are advised to upgrade. Users unable to upgrade should consider limiting date lengths accepted from user input.",,high,CVE-2022-31129,,Gemnasium-0362fa68-1498-4a73-8364-42bdd71d3237; GHSA-wc69-rhjr-hc9g,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""moment""}, ""version""=>""2.24.0""}}",false,"",test-group260849/NodeGoat/101844044,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD; AV:N/AC:L/Au:N/C:N/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Inclusion of Sensitive Information in Log Files,npm CLI is vulnerable to an information exposure vulnerability through log files. The password value is not redacted and is printed to stdout and also to any generated log files.,,medium,CVE-2020-15095,,GHSA-93f3-23rq-pjfp; Gemnasium-b2ebf825-28c5-443d-9dd2-c1e6ec0a1125,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""npm""}, ""version""=>""3.10.10""}}",false,"",test-group260849/NodeGoat/101844045,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:N/A:N=NVD; AV:L/AC:M/Au:N/C:P/I:N/A:N=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),The package handlebars before 4.7.7 are vulnerable to Remote Code Execution (RCE) when selecting certain compiling options to compile templates coming from an untrusted source.,,critical,CVE-2021-23369,,GHSA-f2jv-r9rf-7988; Gemnasium-ca5e5a14-0d8c-4b9c-9ad4-77f8d034e6c8,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""handlebars""}, ""version""=>""4.0.5""}}",false,"",test-group260849/NodeGoat/101844046,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=NVD; AV:N/AC:L/Au:N/C:P/I:P/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"fsevents before 1.2.11 depends on the https://fsevents-binaries.s3-us-west-2.amazonaws.com URL, which might allow an adversary to execute arbitrary code if any JavaScript project (that depends on fsevents) distributes code that was obtained from that URL at a time when it was controlled by an adversary.",,critical,CVE-2023-45311,,GHSA-8r6j-v8pm-fqw3; Gemnasium-3d46f71d-6f1d-4738-b5d9-6af26d6ecc19,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""fsevents""}, ""version""=>""1.2.9""}}",false,"",test-group260849/NodeGoat/101844047,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Input Validation,The qs module is vulnerable to a DoS. A malicious user can send an evil request to cause the web framework crash.,,high,CVE-2017-1000048,,Gemnasium-3b2aab12-b697-40c2-b917-92ab14b878e9,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""qs""}, ""version""=>""5.2.1""}}",false,"",test-group260849/NodeGoat/101844048,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD; AV:N/AC:L/Au:N/C:N/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),The package handlebars before 4.7.7 are vulnerable to Prototype Pollution when selecting certain compiling options to compile templates coming from an untrusted source.,,critical,CVE-2021-23383,,GHSA-765h-qjxv-5f44; Gemnasium-38710e7b-b5b6-40e7-87a6-576cc0939955,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""handlebars""}, ""version""=>""4.0.5""}}",false,"",test-group260849/NodeGoat/101844049,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=NVD; AV:N/AC:L/Au:N/C:P/I:P/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 3.0.0 is vulnerable to Cross-site Scripting (XSS) attacks when a cross-domain Ajax request is performed without the dataType option, causing text/javascript responses to be executed.",,medium,CVE-2015-9251,,Gemnasium-24eaef8b-a662-4015-8619-84f1eb756395; GHSA-rmxg-73gg-4p98,2023-12-05 15:47:19 UTC,"{""file""=>""app/assets/vendor/jquery.min.js"", ""dependency""=>{""package""=>{""name""=>""jquery""}, ""version""=>""1.10.2""}}",false,"",test-group260849/NodeGoat/101844050,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N=NVD; AV:N/AC:M/Au:N/C:N/I:P/A:N=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Cross-site Scripting,"In Bootstrap, XSS is possible in the collapse data-parent attribute.",,medium,CVE-2018-14040,,Gemnasium-f4fbeed1-cb26-4e4e-b123-daaa39420281,2023-12-05 15:47:19 UTC,"{""file""=>""app/assets/vendor/bootstrap/bootstrap.js"", ""dependency""=>{""package""=>{""name""=>""bootstrap""}, ""version""=>""3.0.0""}}",false,"",test-group260849/NodeGoat/101844051,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N=NVD; AV:N/AC:M/Au:N/C:N/I:P/A:N=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Prototype Pollution in async,"A vulnerability exists in Async through 3.2.1 (fixed in 3.2.2), which could let a malicious user obtain privileges via the mapValues() method.",,high,CVE-2021-43138,,GHSA-fwr7-v2mv-hh25; Gemnasium-81b070d9-73e0-4402-93cc-178e7fd015cd,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""async""}, ""version""=>""0.2.10""}}",false,"",test-group260849/NodeGoat/101844052,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H=NVD; AV:N/AC:M/Au:N/C:P/I:P/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Denial of Service,A specially crafted value of the `Sec-WebSocket-Extensions` header that uses `Object.prototype` property names as extension or parameter names can be used to make a `ws` server crash.,,unknown,,,Gemnasium-18a02acd-60b8-44ce-9af1-8f535852ae34,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""ws""}, ""version""=>""1.1.5""}}",false,"",test-group260849/NodeGoat/101844053,""
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Deserialization of Untrusted Data,"bson is vulnerable to Deserialization of Untrusted Data. The package will ignore an unknown value for an object's `_bsotype`, leading to cases where an object is serialized as a document rather than the intended BSON type.",,critical,CVE-2020-7610,,Gemnasium-ad7de6c9-4252-4513-9fc4-a2b437f555ac,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""bson""}, ""version""=>""1.0.9""}}",false,"",test-group260849/NodeGoat/101844054,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=NVD; AV:N/AC:L/Au:N/C:P/I:P/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') in handlebars.,,unknown,,,Gemnasium-34bee61b-6ace-4065-9fd7-f2f1ccb6a9e6; GHSA-q2c6-c6pm-g3gh,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""handlebars""}, ""version""=>""4.0.5""}}",false,"",test-group260849/NodeGoat/101844055,""
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",,medium,CVE-2019-11358,,Gemnasium-54b5386a-59f9-43aa-88e7-0c12bd5b5e7c; GHSA-6c3j-c64m-qhgq,2023-12-05 15:47:19 UTC,"{""file""=>""app/assets/vendor/jquery.min.js"", ""dependency""=>{""package""=>{""name""=>""jquery""}, ""version""=>""1.10.2""}}",false,"",test-group260849/NodeGoat/101844056,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N=NVD; AV:N/AC:M/Au:N/C:N/I:P/A:N=NVD
